,full_name,ElasticNetCV,ElasticNetCV Bins,max_madden,madden_cat,position_group_rank
133,Todd Gurley,83.6940300293581,80,80.0,80,1.0
131,Tevin Coleman,80.66436528613077,80,86.0,80,5.0
126,Melvin Gordon,80.1308890402512,80,87.0,80,2.0
115,Duke Johnson,78.26351332466577,70,83.0,80,6.0
129,T.J. Yeldon,77.76083591240959,70,80.0,80,3.0
128,Mike Davis,77.71711580098177,70,77.0,70,11.0
118,Jay Ajayi,77.54216211181837,70,87.0,80,13.0
119,Jeremy Langford,76.90135774380157,70,76.0,70,8.0
111,Cameron Artis-Payne,76.10706553950764,70,70.0,70,16.0
108,Ameer Abdullah,75.68866718140147,70,82.0,80,4.0
117,Javorius Allen,75.38139959937654,70,74.0,70,10.0
127,Michael Dyer,72.95880654704784,70,65.0,60,28.0
121,Karlos Williams,72.82523796117574,70,69.0,60,14.0
123,Malcolm Brown,72.74675472596721,70,75.0,70,27.0
125,Matt Jones,70.32439163595585,70,77.0,70,7.0
134,Trey Williams,69.93985293140854,60,67.0,60,31.0
114,Dominique Brown,69.91565184043203,60,66.0,60,25.0
116,Jahwan Edwards,69.03639370421546,60,66.0,60,26.0
112,David Cobb,68.05183004046262,60,71.0,70,12.0
120,Josh Robinson,67.8439061975589,60,67.0,60,17.0
130,Terrence Magee,66.82817174769023,60,69.0,60,29.0
124,Marcus Murphy,65.50234029239577,60,70.0,70,18.0
132,Thomas Rawls,65.24699811199325,60,83.0,80,30.0
122,Kenny Hilliard,63.6035394473985,60,62.0,60,20.0
