,full_name,ElasticNetCV,ElasticNetCV Bins,madden_cat,madden_cat.1,madden_cat.2,madden_cat.3,position_group_rank,draft_year
502,Fred Smoot,68.88351122255659,60,60,60,60,60,7.0,2001
502,Fred Smoot,68.88351122255659,60,60,60,60,60,7.0,2001
480,Andre Goodman,70.02870854557867,70,80,80,80,80,31.0,2002
493,Sheldon Brown,69.14892185900712,60,80,80,80,80,9.0,2002
491,Quentin Jammer,68.8874044968106,60,80,80,80,80,1.0,2002
486,Kevin Thomas,60.78357737875397,60,70,70,70,70,26.0,2002
477,Nnamdi Asomugha,71.91442312439602,70,90,90,90,90,4.0,2003
471,Charles Tillman,71.29101605353038,70,90,90,90,90,5.0,2003
473,Donald Strickland,67.50604487944449,60,60,60,60,60,10.0,2003
456,Dunta Robinson,74.85091192171234,70,80,80,80,80,2.0,2004
458,Jabari Greer,60.99387049302719,60,90,90,90,90,29.0,2004
445,Fabian Washington,77.00859681575231,70,70,70,70,70,3.0,2005
450,Stanford Routt,75.53035227806019,70,80,80,80,80,6.0,2005
443,Domonique Foxworth,73.88683820748876,70,80,80,80,80,17.0,2005
446,Karl Paymah,72.84592159482784,70,60,60,60,60,14.0,2005
447,Kelvin Hayden,72.70590736877112,70,80,80,80,80,9.0,2005
435,Brandon Browner,70.80558138046187,70,80,80,80,80,32.0,2005
437,Carlos Rogers,70.5775507755977,70,90,90,90,90,1.0,2005
440,Corey Webster,70.34670345342089,70,90,90,90,90,8.0,2005
449,Scott Starks,69.31042549139428,60,60,60,60,60,16.0,2005
436,Bryant McFadden,68.327865662706,60,70,70,70,70,10.0,2005
448,Marlin Jackson,67.38203779154307,60,80,80,80,80,4.0,2005
432,Tim Jennings,76.57833181942075,70,90,90,90,90,11.0,2006
433,Tye Hill,72.96805364064588,70,60,60,60,60,3.0,2006
415,Ashton Youboty,72.75844532634076,70,60,60,60,60,12.0,2006
423,Derrick Martin,72.01694722216456,70,60,60,60,60,28.0,2006
431,Richard Marshall,70.33115878356703,70,80,80,80,80,10.0,2006
428,Kelly Jennings,68.14376979199184,60,70,70,70,70,5.0,2006
418,Chris Hawkins,63.48951854711277,60,60,60,60,60,36.0,2006
395,Darrelle Revis,76.77186923698466,70,90,90,90,90,2.0,2007
408,Ryan Smith,75.82530540964305,70,70,70,70,70,31.0,2007
401,Jonathan Wade,74.4211124523883,70,60,60,60,60,15.0,2007
404,Leon Hall,73.60585113015237,70,90,90,90,90,3.0,2007
402,Josh Wilson,73.01596455111657,70,80,80,80,80,11.0,2007
394,Chris Houston,71.6530253542895,70,80,80,80,80,9.0,2007
388,Aaron Ross,71.14410972342161,70,80,80,80,80,5.0,2007
400,Fred Bennett,70.05514983527866,70,60,60,60,60,20.0,2007
392,C.J. Wilson,69.62815953060294,60,60,60,60,60,34.0,2007
399,Eric Wright,69.53982638932327,60,80,80,80,80,10.0,2007
409,Tarell Brown,65.84616269957104,60,80,80,80,80,24.0,2007
391,Brandon McDonald,65.18735164914082,60,60,60,60,60,22.0,2007
410,Trumaine McBride,64.14265021364757,60,70,70,70,70,32.0,2007
387,A.J. Davis,64.12602942592272,60,60,60,60,60,17.0,2007
406,Michael Coe,64.10032368294941,60,60,60,60,60,47.0,2007
411,Tyron Brackenridge,63.478350467162635,60,60,60,60,60,49.0,2007
382,Tracy Porter,78.76992626846777,70,80,80,80,80,7.0,2008
358,Aqib Talib,78.58473124005225,70,90,90,90,90,2.0,2008
378,Orlando Scandrick,76.54899468881723,70,80,80,80,80,27.0,2008
384,Tyvon Branch,76.33767736970114,70,80,80,80,80,17.0,2008
381,Terrence Wheatley,75.5978996279847,70,60,60,60,60,9.0,2008
357,Antoine Cason,74.70730593444729,70,80,80,80,80,4.0,2008
361,Charles Godfrey,73.87089074361522,70,80,80,80,80,11.0,2008
359,Brandon Flowers,73.14182399708919,70,90,90,90,90,6.0,2008
380,Terrell Thomas,73.04433641231803,70,80,80,80,80,10.0,2008
365,Dwight Lowery,72.65331214441997,70,80,80,80,80,19.0,2008
370,Justin King,72.41432558984411,70,60,60,60,60,18.0,2008
386,Zack Bowman,72.00037477908387,70,70,70,70,70,26.0,2008
373,Leodis McKelvin,71.35646394251741,70,80,80,80,80,1.0,2008
377,Mike Jenkins,71.02382477064056,70,80,80,80,80,3.0,2008
362,Chevis Jackson,70.77874089118585,70,60,60,60,60,12.0,2008
368,Jonathan Wilhite,70.22142602564061,70,70,70,70,70,24.0,2008
372,Justin Tryon,70.1119719998574,70,70,70,70,70,23.0,2008
379,Reggie Smith,68.93193395538704,60,70,70,70,70,13.0,2008
355,Vontae Davis,79.49892736809473,70,90,90,90,90,2.0,2009
325,Alphonso Smith,78.56977574755084,70,70,70,70,70,5.0,2009
