,full_name,ElasticNetCV,ElasticNetCV Bins,madden_cat,madden_cat,madden_cat,madden_cat,position_group_rank
164,Steven Nelson,73.11326951476353,70,80,80,80,80,16.0
165,Trae Waynes,72.45100190977084,70,80,80,80,80,1.0
139,Craig Mager,72.29593196219966,70,70,70,70,70,15.0
136,Bobby McCain,72.25325441679963,70,70,70,70,70,23.0
163,Senquez Golson,72.02458187981394,70,70,70,70,70,9.0
140,D'Joun Smith,71.8436180601128,70,60,60,60,60,12.0
143,Doran Grant,71.6562890313133,70,60,60,60,60,21.0
137,Byron Jones,71.53016658614249,70,90,90,90,90,4.0
150,Josh Shaw,71.00061397863684,70,70,70,70,70,20.0
144,Eric Rowe,70.70181115352074,70,70,70,70,70,7.0
157,Marcus Peters,70.51078216375755,70,80,80,80,80,3.0
161,Quinten Rollins,70.13308626790568,70,70,70,70,70,10.0
156,Lorenzo Doss,70.03027072043815,70,70,70,70,70,24.0
158,Nick Marshall,69.27592348104596,60,60,60,60,60,50.0
149,Jalen Collins,68.87151120519667,60,70,70,70,70,6.0
160,Quandre Diggs,68.59657952454029,60,80,80,80,80,30.0
146,Ifo Ekpre-Olomu,68.25078810239388,60,70,70,70,70,32.0
141,Damian Swann,68.12636286623109,60,60,60,60,60,25.0
152,Justin Coleman,67.79179178334115,60,80,80,80,80,45.0
162,Ronald Darby,67.0475357802656,60,80,80,80,80,8.0
138,Charles Gaines,66.97985723994012,60,60,60,60,60,27.0
154,Kevin Johnson,66.10848883504897,60,80,80,80,80,2.0
159,P.J. Williams,65.8356554909757,60,70,70,70,70,13.0
135,Alex Carter,64.72110954648936,60,60,60,60,60,14.0
145,Garry Peters,63.15247740156723,60,60,60,60,60,41.0
148,JaCorey Shepherd,62.1737687377602,60,60,60,60,60,28.0
166,Troy Hill,61.27917671247342,60,70,70,70,70,52.0
155,Kevin White,60.497578436350814,60,60,60,60,60,47.0
147,Jacoby Glenn,58.0954284287762,50,60,60,60,60,42.0
