,full_name,ElasticNetCV,ElasticNetCV Bins,max_madden,madden_cat,position_group_rank,draft_year
523,Thomas Jones,82.0,80,90.0,90,2.0,2000
508,Jamal Lewis,80.0,70,85.0,80,1.0,2000
510,Keith Smith,68.0,60,77.0,70,32.0,2000
490,LaDainian Tomlinson,84.0,80,94.0,90,1.0,2001
492,Michael Bennett,79.0,70,60.0,60,3.0,2001
450,Clinton Portis,78.0,70,93.0,90,5.0,2002
472,Maurice Morris,76.0,70,77.0,70,6.0,2002
449,Chester Taylor,76.0,70,78.0,70,20.0,2002
465,Ladell Betts,75.0,70,72.0,70,7.0,2002
473,Ricky Williams,75.0,70,87.0,80,42.0,2002
447,Adrian Peterson,73.0,70,99.0,90,1.0,2002
474,Rock Cartwright,71.0,70,68.0,60,23.0,2002
446,Willis McGahee,83.0,80,85.0,80,1.0,2003
437,Larry Johnson,78.0,70,88.0,80,2.0,2003
433,Earnest Graham,78.0,70,79.0,70,27.0,2003
421,Steven Jackson,85.0,80,95.0,90,1.0,2004
415,Michael Turner,79.0,70,95.0,90,9.0,2004
412,Julius Jones,76.0,70,77.0,70,5.0,2004
414,Mewelde Moore,76.0,70,74.0,70,7.0,2004
408,Greg Jones,75.0,70,91.0,90,6.0,2004
410,Jason Wright,68.0,60,69.0,60,20.0,2004
381,Cedric Benson,83.0,80,81.0,80,2.0,2005
389,J.J. Arrington,81.0,80,69.0,60,4.0,2005
396,Ronnie Brown,79.0,70,89.0,80,1.0,2005
392,Marion Barber,79.0,70,88.0,80,9.0,2005
384,Darren Sproles,78.0,70,89.0,80,13.0,2005
398,Ryan Moats,76.0,70,68.0,60,8.0,2005
397,Ryan Grant,74.0,70,88.0,80,30.0,2005
388,Frank Gore,72.0,70,93.0,90,6.0,2005
376,Alvin Pearman,71.0,70,66.0,60,12.0,2005
379,Brandon Jacobs,68.0,60,90.0,90,22.0,2005
355,DeAngelo Williams,84.0,80,94.0,90,3.0,2006
361,Laurence Maroney,80.0,70,78.0,70,2.0,2006
362,LenDale White,80.0,70,79.0,70,5.0,2006
359,Jerome Harrison,80.0,80,83.0,80,11.0,2006
360,Joseph Addai,78.0,70,85.0,80,4.0,2006
358,Jerious Norwood,78.0,70,79.0,70,7.0,2006
369,Reggie Bush,78.0,70,85.0,80,1.0,2006
365,Maurice Jones-Drew,76.0,70,97.0,90,6.0,2006
363,Leon Washington,72.0,70,79.0,70,9.0,2006
368,Quinton Ganther,72.0,70,68.0,60,16.0,2006
366,Mike Bell,70.0,60,77.0,70,23.0,2006
336,Garrett Wolfe,84.0,80,69.0,60,9.0,2007
331,Brian Leonard,81.0,80,73.0,70,5.0,2007
343,Marshawn Lynch,79.0,70,96.0,90,2.0,2007
344,Michael Bush,76.0,70,83.0,80,10.0,2007
328,Ahmad Bradshaw,74.0,70,88.0,80,22.0,2007
342,Lorenzo Booker,74.0,70,66.0,60,7.0,2007
330,Brandon Jackson,70.0,60,72.0,70,6.0,2007
339,Kenneth Darby,68.0,60,66.0,60,21.0,2007
308,Darren McFadden,87.0,80,91.0,90,1.0,2008
322,Ray Rice,85.0,80,95.0,90,7.0,2008
318,Matt Forte,81.0,80,95.0,90,6.0,2008
324,Steve Slaton,81.0,80,87.0,80,11.0,2008
315,Kevin Smith,80.0,70,80.0,80,8.0,2008
312,Jonathan Stewart,80.0,70,88.0,80,2.0,2008
311,Jamaal Charles,80.0,70,97.0,90,10.0,2008
305,Chris Johnson,80.0,70,99.0,90,5.0,2008
321,Rashard Mendenhall,78.0,70,88.0,80,4.0,2008
325,Tashard Choice,77.0,70,77.0,70,12.0,2008
309,Felix Jones,76.0,70,83.0,80,3.0,2008
319,Mike Hart,76.0,70,65.0,60,18.0,2008
301,BenJarvus Green-Ellis,76.0,70,82.0,80,25.0,2008
310,Jalen Parmele,74.0,70,69.0,60,17.0,2008
323,Ryan Torain,70.0,70,76.0,70,13.0,2008
313,Justin Forsett,67.0,60,87.0,80,21.0,2008
316,Kregg Lumpkin,67.0,60,68.0,60,32.0,2008
278,Beanie Wells,84.0,80,85.0,80,3.0,2009
290,Knowshon Moreno,83.0,80,87.0,80,1.0,2009
291,Kory Sheets,82.0,80,65.0,60,27.0,2009
285,Ian Johnson,81.0,80,65.0,60,23.0,2009
286,James Davis,81.0,80,69.0,60,15.0,2009
292,LeSean McCoy,81.0,80,97.0,90,4.0,2009
275,Andre Brown,79.0,70,78.0,70,9.0,2009
287,Javon Ringer,79.0,70,73.0,70,13.0,2009
282,Donald Brown,79.0,70,80.0,80,2.0,2009
280,Cedric Peerman,77.0,70,72.0,70,14.0,2009
294,Mike Goodson,76.0,70,77.0,70,7.0,2009
298,Tyrell Sutton,76.0,70,65.0,60,32.0,2009
284,Glen Coffee,74.0,70,71.0,70,6.0,2009
297,Shonn Greene,73.0,70,82.0,80,5.0,2009
277,Arian Foster,72.0,70,96.0,90,19.0,2009
288,Jeremiah Johnson,72.0,70,65.0,60,25.0,2009
296,Rashad Jennings,68.0,60,82.0,80,30.0,2009
281,Chris Ogbonnaya,66.0,60,81.0,80,16.0,2009
289,Kahlil Bell,63.0,60,69.0,60,26.0,2009
256,Ben Tate,84.0,80,84.0,80,5.0,2010
274,Toby Gerhart,82.0,80,79.0,70,4.0,2010
271,Ryan Mathews,81.0,80,87.0,80,2.0,2010
258,C.J. Spiller,80.0,70,92.0,90,1.0,2010
261,Jahvid Best,80.0,70,81.0,80,3.0,2010
255,Anthony Dixon,79.0,70,73.0,70,9.0,2010
262,James Starks,78.0,70,79.0,70,11.0,2010
270,Montario Hardesty,77.0,70,72.0,70,6.0,2010
266,Keiland Williams,74.0,70,69.0,60,18.0,2010
