full_name,max_madden,preds,draft_position
Alex Collins,81.0,82.1,13.0
Brandon Wilds,65.0,69.7,19.0
C.J. Prosise,74.0,70.5,4.0
Daniel Lasco,68.0,70.9,17.0
Deandre Washington,74.0,73.3,8.0
Derrick Henry,86.0,82.1,2.0
Devon Johnson,62.0,66.9,20.0
Devontae Booker,76.0,80.3,7.0
Ezekiel Elliott,94.0,82.3,1.0
Jonathan Williams,67.0,77.5,12.0
Jordan Howard,85.0,80.6,10.0
Josh Ferguson,65.0,77.1,22.0
Keith Marshall,71.0,68.0,18.0
Kelvin Taylor,67.0,77.4,16.0
Kenneth Dixon,76.0,74.1,6.0
Kenyan Drake,82.0,72.4,3.0
Paul Perkins,77.0,75.9,9.0
Peyton Barber,77.0,78.9,23.0
Shadrach Thornton,65.0,77.5,25.0
Tra Carson,62.0,80.4,27.0
Tre Madden,70.0,67.1,28.0
Tyler Ervin,67.0,72.3,5.0
Wendell Smallwood,72.0,75.1,11.0
