,full_name,ElasticNetCV,ElasticNetCV Bins,max_madden,madden_cat,position_group_rank,draft_year
797,Plaxico Burress,78.069817725485,70,83.0,80,2.0,2000
782,Dennis Northcutt,74.94537358610458,70,66.0,60,5.0,2000
792,Laveranues Coles,67.39981940580006,60,87.0,80,11.0,2000
737,Chris Chambers,76.41047839482397,70,78.0,70,10.0,2001
764,Santana Moss,74.89438735550254,70,86.0,80,4.0,2001
758,Reggie Wayne,72.17443420976895,70,96.0,90,6.0,2001
769,Steve Smith,70.84451235763969,70,90.0,90,11.0,2001
735,Cedrick Wilson,70.53658363874992,70,70.0,70,17.0,2001
739,Corey Brown,60.128779186139774,60,73.0,70,27.0,2001
714,Jabar Gaffney,82.7441650334884,80,78.0,70,4.0,2002
708,Deion Branch,82.68019878513799,80,79.0,70,11.0,2002
710,Donte' Stallworth,78.4145463071255,70,70.0,70,1.0,2002
719,Josh Reed,77.91563192895234,70,75.0,70,5.0,2002
718,Javon Walker,76.93191615265502,70,71.0,70,3.0,2002
699,Andre' Davis,73.18035190844628,70,63.0,60,7.0,2002
683,Kevin Curtis,81.21122663887465,80,76.0,70,11.0,2003
682,Kelley Washington,80.65280515134462,80,72.0,70,9.0,2003
678,Justin Gage,79.66755262140671,70,77.0,70,17.0,2003
686,Nate Burleson,77.56209601987743,70,78.0,70,10.0,2003
663,Andre Johnson,74.43404291525613,70,98.0,90,2.0,2003
666,Arnaz Battle,71.44342152868418,70,72.0,70,22.0,2003
680,Kassim Osgood,70.51078513240705,70,67.0,60,31.0,2003
670,Brandon Lloyd,69.3754061655987,60,88.0,80,14.0,2003
669,Bobby Wade,68.89318334026777,60,70.0,70,16.0,2003
690,Sam Aiken,66.61496953762327,60,73.0,70,15.0,2003
671,Bryant Johnson,66.03554441969698,60,70.0,70,3.0,2003
664,Anquan Boldin,64.47780181500728,60,94.0,90,6.0,2003
647,Larry Fitzgerald,84.92594736815425,80,99.0,90,1.0,2004
656,Roy Williams,79.41516495199195,70,84.0,80,2.0,2004
652,Michael Jenkins,77.50058746515077,70,79.0,70,6.0,2004
648,Lee Evans,77.08515165119023,70,85.0,80,4.0,2004
637,Jerricho Cotchery,74.73627115906405,70,85.0,80,16.0,2004
629,Devery Henderson,73.65137378741981,70,82.0,80,8.0,2004
651,Michael Clayton,73.09179532435392,70,67.0,60,5.0,2004
659,Terrance Copper,63.64077895389066,60,66.0,60,44.0,2004
619,Bernard Berrian,63.1862963828266,60,82.0,80,12.0,2004
604,Mike Williams,81.05972278014876,80,85.0,80,3.0,2005
587,Braylon Edwards,80.47503507286058,80,86.0,80,1.0,2005
603,Mark Clayton,75.71976340268832,70,78.0,70,4.0,2005
593,Courtney Roby,75.61727859767561,70,67.0,60,10.0,2005
615,Troy Williamson,75.53831855051578,70,68.0,60,2.0,2005
616,Vincent Jackson,73.97184508599507,70,92.0,90,32.0,2005
607,Reggie Brown,72.23897685495469,70,72.0,70,6.0,2005
609,Roddy White,71.55470644997908,70,96.0,90,5.0,2005
602,Mark Bradley,71.10922875473662,70,67.0,60,7.0,2005
586,Brandon Jones,69.88406449137936,60,71.0,70,12.0,2005
610,Roscoe Parrish,69.58264614726043,60,71.0,70,8.0,2005
601,Lance Moore,66.91405791735549,60,85.0,80,28.0,2005
579,Santonio Holmes,76.7479383019658,70,87.0,80,1.0,2006
567,Greg Jennings,76.33075784770506,70,93.0,90,4.0,2006
582,Todd Watkins,74.68379121365845,70,52.0,50,20.0,2006
564,Derek Hagan,73.7485419166233,70,72.0,70,6.0,2006
563,Demetrius Williams,71.71598284939094,70,67.0,60,14.0,2006
