,full_name,ElasticNetCV,ElasticNetCV Bins,max_madden,madden_cat,position_group_rank
180,Amari Cooper,84.98928775102416,80,93.0,90,1.0
206,Kevin White,83.14404029924174,80,78.0,70,2.0
217,Tyler Lockett,77.20920296981001,70,88.0,80,10.0
192,DeVante Parker,75.96665696680978,70,84.0,80,3.0
213,Stefon Diggs,75.26069166043754,70,93.0,90,19.0
199,Jaelen Strong,75.17885183329854,70,73.0,70,11.0
212,Sammie Coates,74.85447812506453,70,75.0,70,13.0
218,Vince Mayle,74.7526363306909,70,70.0,70,17.0
207,Mario Alford,74.33680951470569,70,62.0,60,25.0
209,Phillip Dorsett,74.30090885404775,70,77.0,70,6.0
211,Rashad Greene,73.78426390041244,70,71.0,70,18.0
184,Chris Conley,73.73731547975288,70,76.0,70,12.0
202,Justin Hardy,73.25656972677757,70,74.0,70,16.0
208,Nelson Agholor,73.19869073979318,70,84.0,80,4.0
194,Devin Smith,71.99232330914039,70,72.0,70,7.0
195,Dorial Green-Beckham,71.911584904757,70,76.0,70,8.0
181,Antwan Goodley,71.7837801414976,70,68.0,60,26.0
205,Kenny Bell,71.7145123271758,70,66.0,60,21.0
188,DeAndre Smelter,71.29450954810996,70,67.0,60,30.0
214,Titus Davis,70.66392444764273,70,68.0,60,39.0
198,Geremy Davis,70.45572787394704,70,67.0,60,23.0
216,Ty Montgomery,70.18498027686714,70,71.0,70,14.0
189,DeAndrew White,69.57454085301241,60,66.0,60,31.0
200,Jamison Crowder,69.37583960728551,60,84.0,80,15.0
186,Darren Waller,69.08984640472767,60,65.0,60,24.0
191,Devante Davis,68.8321605658055,60,65.0,60,33.0
182,Breshad Perriman,68.6882489249248,60,75.0,70,5.0
190,Deon Long,68.6151007927456,60,66.0,60,32.0
185,Da'Ron Brown,67.62232985176905,60,60.0,60,28.0
193,Devin Funchess,67.57384385110343,60,82.0,80,9.0
196,Dres Anderson,66.02207102773734,60,65.0,60,34.0
203,Kaelin Clay,65.75483510927873,60,62.0,60,22.0
187,DaVaris Daniels,65.53710686591648,60,64.0,60,29.0
201,Josh Harper,65.35369398688148,60,69.0,60,36.0
210,Rannell Hall,64.73448052026245,60,64.0,60,38.0
204,Keith Mumphery,64.42351638864221,60,63.0,60,37.0
