pick,team,year,player,pos,college,weight,height_inches
NA,NA,2019,A.J. Brown,WR,Mississippi,226,72
NA,NA,2019,Albert Huggins,DL,Clemson,305,75
NA,NA,2019,Alec Ingold,FB,Wisconsin,242,73
NA,NA,2019,Alex Barnes,RB,Kansas St.,226,72
NA,NA,2019,Alexander Mattison,RB,Boise St.,221,71
NA,NA,2019,Alijah Holder,CB,Stanford,191,73
NA,NA,2019,Alize Mack,TE,Notre Dame,249,76
NA,NA,2019,Amani Hooker,S,Iowa,210,71
NA,NA,2019,Amani Oruwariye,CB,Penn St.,205,74
NA,NA,2019,Andre Dillard,OT,Washington St.,315,77
NA,NA,2019,Andrew Van ginkel,OLB,Wisconsin,241,75
NA,NA,2019,Andrew Wingard,S,Wyoming,209,72
NA,NA,2019,Andy Isabella,WR,Massachusetts,188,69
NA,NA,2019,Anthony Johnson,WR,Buffalo,209,74
NA,NA,2019,Anthony Nelson,DL,Iowa,271,79
NA,NA,2019,Antoine Wesley,WR,Texas Tech,206,76
NA,NA,2019,Armon Watts,DL,Arkansas,300,77
NA,NA,2019,Austin Bryant,DE,Clemson,271,76
NA,NA,2019,Azeez Al-Shaair,OLB,Florida Atlantic,234,73
NA,NA,2019,Beau Benzschawel,OT,Wisconsin,309,78
NA,NA,2019,Ben Banogu,DE,TCU,250,75
NA,NA,2019,Ben Burr-Kirven,OLB,Washington,230,72
NA,NA,2019,Ben Powers,OT,Oklahoma,307,76
NA,NA,2019,Benny Snell,RB,Kentucky,224,70
NA,NA,2019,Bisi Johnson,WR,Colorado St.,204,72
NA,NA,2019,Blace Brown,CB,Troy,194,72
NA,NA,2019,Blake Cashman,OLB,Minnesota,237,73
NA,NA,2019,Blessuan Austin,CB,Rutgers,198,73
NA,NA,2019,Bobby Evans,OT,Oklahoma,312,76
NA,NA,2019,Bobby Okereke,OLB,Stanford,239,73
NA,NA,2019,Brandon Knight,OT,Indiana,314,76
NA,NA,2019,Brett Rypien,QB,Boise St.,210,74
NA,NA,2019,Brian Burns,DE,Florida St.,249,77
NA,NA,2019,Bryce Love,RB,Stanford,200,69
NA,NA,2019,Bryson Allen-Williams,OLB,South Carolina,236,73
NA,NA,2019,Byron Cowart,DL,Maryland,298,75
NA,NA,2019,Byron Murphy,CB,Washington,190,71
NA,NA,2019,C.J. Conrad,TE,Kentucky,249,76
NA,NA,2019,Caleb Wilson,TE,UCLA,240,76
NA,NA,2019,Cameron Smith,OLB,USC,238,74
