College,Geographic Location,county,state,poverty_pct,med_income
Abilene Christian,"Abilene, TX", Taylor County, TX,10.3,"$48,010"
Air Force,"Colorado Springs, CO", El Paso County, CO,20.5,"$48,010"
Akron,"Akron, OH", Summit County, OH,6.2,"$48,010"
Alabama,"Tuscaloosa, AL", Jefferson County, AL,8.1,"$48,010"
Alabama State,"Montgomery, AL", Clearfield County, AL,15.4,"$48,010"
Alabama-Birmingham,"Birmingham, AL", Jefferson County, AL,8.1,"$48,010"
Alcorn State,"Lorman, MS", Jefferson County, MS,8.1,"$48,010"
Appalachian St.,"Boone, NC", Watauga County, NC,21.2,"$48,010"
Appalachian State,"Boone, NC", Watauga County, NC,21.2,"$48,010"
Arizona,"Tucson, AZ", Pima County, AZ,16.2,"$48,010"
Arizona State,"Tempe, AZ", Maricopa County, AZ,12.3,"$48,010"
Arkansas,"Fayetteville, AR", Washington County, AR,4.5,"$48,010"
Arkansas State,"Jonesboro, AR", Craighead County, AR,17.9,"$48,010"
Army,"West Point, NY", Suffolk County, NY,7.3,"$48,010"
Auburn,"Auburn, AL", Jefferson County, AL,8.1,"$48,010"
Azusa Pacific,"Azusa, CA", Los Angeles County, CA,14.2,"$48,010"
Ball St.,"Muncie, IN", Delaware County, IN,8.8,"$48,010"
Ball State,"Muncie, IN", Delaware County, IN,8.8,"$48,010"
Baylor,"Waco, TX", McLennan County, TX,18.9,"$48,010"
Boise St.,"Boise, ID", Ada County, ID,9.7,"$48,010"
Boise State,"Boise, ID", Ada County, ID,9.7,"$48,010"
Boston College,"Chestnut Hill, MA",,,,"$48,010"
Bowling Green,"Bowling Green, OH", Wood County, OH,10.1,"$48,010"
Bowling Green State,"Bowling Green, OH", Wood County, OH,10.1,"$48,010"
Brigham Young,"Provo, UT", Utah County, UT,9.4,"$48,010"
Buffalo,"Amherst, NY", Erie County, NY,15.3,"$48,010"
BYU,"Provo, UT", Utah County, UT,9.4,"$48,010"
California,"Berkeley, CA", Alameda County, CA,9.0,"$48,010"
California (PA),"California, PA", Washington County, PA,4.5,"$48,010"
California-Davis,"Davis, CA", Yolo County, CA,20.1,"$48,010"
Central Florida,"Orlando, FL", Orange County, FL,9.4,"$48,010"
Central Michigan,"Mount Pleasant, MI", Isabella County, MI,23.4,"$48,010"
Central Missouri,"Warrensburg, MS", Johnson County, MS,10.3,"$48,010"
Central Washington,"Ellensburg, WA", Kittitas County, WA,15.8,"$48,010"
Charlotte,"Charlotte, NC", Mecklenburg County, NC,18.7,"$48,010"
Chattanooga,"Chattanooga, TN", Hamilton County, TN,14.7,"$48,010"
