College,Geographic Location,city_lat,city_lon,ann_rain_inch,ann_snow_inch,min_jan,min_feb,min_mar,min_apr,min_may,min_jun,min_jul,min_aug,min_sep,min_oct,min_nov,min_dec,max_jan,max_feb,max_mar,max_apr,max_may,max_jun,max_jul,max_aug,max_sep,max_oct,max_nov,max_dec
Abilene Christian,"Abilene, TX",32.44645,-99.7475905,27.15,0.18,33.0,36.7,44.1,51.9,61.4,68.5,72.0,71.6,64.2,54.3,43.0,33.7,56.8,60.5,68.6,77.3,84.6,90.5,94.2,94.0,86.8,77.3,66.3,56.9
Air Force,"Colorado Springs, CO",38.8339578,-104.8253485,24.44,2.49,17.7,19.5,26.0,33.3,42.7,51.3,56.9,55.7,47.3,35.8,25.2,17.5,43.2,44.8,52.1,59.8,69.1,79.0,84.8,81.6,74.5,63.0,51.0,42.1
Akron,"Akron, OH",41.083064,-81.518485,37.5,2.84,22.2,23.8,30.9,41.7,51.3,60.9,64.8,63.5,56.6,45.7,37.0,26.6,34.5,38.0,47.8,60.4,70.2,79.4,83.0,81.6,73.5,61.4,50.0,37.9
Alabama,"Tuscaloosa, AL",33.2095614,-87.5675258,51.85,0.01,34.9,38.4,45.1,51.6,61.0,68.5,72.1,71.6,65.3,53.5,44.1,37.3,56.3,61.2,69.7,77.2,84.1,90.2,92.7,92.6,87.7,77.7,67.7,58.2
Alabama State,"Montgomery, AL",32.3669656,-86.3006485,47.57,0.02,35.1,38.9,44.7,50.9,59.5,67.4,70.1,70.0,64.0,51.9,43.4,36.6,57.5,62.1,69.6,76.6,84.2,89.1,91.8,91.3,86.0,77.6,69.0,60.1
Alabama-Birmingham,"Birmingham, AL",33.5206824,-86.8024326,53.72,0.18,33.8,37.1,43.7,50.5,59.7,67.7,71.4,70.8,64.3,52.9,43.5,36.3,53.8,58.4,66.7,74.4,81.5,87.7,90.8,90.6,85.1,75.3,65.4,55.9
Alcorn State,"Lorman, MS",31.8204396,-91.0501057,56.46,0.03,33.1,36.6,43.3,50.5,60.1,67.1,70.0,69.4,62.9,50.9,42.4,35.4,56.5,60.8,68.8,76.0,82.8,88.7,90.8,91.3,86.7,77.5,67.8,58.5
Appalachian St.,"Boone, NC",36.216795,-81.6745517,63.74,3.87,20.7,23.2,29.2,37.3,46.1,54.1,58.1,56.8,50.1,39.5,31.1,23.7,41.6,44.6,52.2,61.3,69.3,75.9,78.9,78.1,72.1,63.2,54.2,44.5
Appalachian State,"Boone, NC",36.216795,-81.6745517,63.74,3.87,20.7,23.2,29.2,37.3,46.1,54.1,58.1,56.8,50.1,39.5,31.1,23.7,41.6,44.6,52.2,61.3,69.3,75.9,78.9,78.1,72.1,63.2,54.2,44.5
Arizona,"Tucson, AZ",32.2228765,-110.9748477,12.01,0,41.6,44.2,48.4,54.7,63.5,71.7,75.7,74.6,70.5,59.2,48.0,40.8,64.9,68.2,73.9,81.5,90.8,99.1,98.9,96.9,94.1,84.2,73.0,64.4
Arizona State,"Tempe, AZ",33.4255056,-111.9400125,9.49,0.0,39.0,41.7,45.7,51.8,60.2,67.7,75.3,74.8,68.2,56.4,44.7,37.6,69.4,72.6,78.3,85.8,94.6,102.7,104.8,103.3,99.5,89.3,77.6,68.2
Arkansas,"Fayetteville, AR",36.0625843,-94.1574328,47.09,0.4,26.3,29.7,37.8,46.9,55.8,64.6,69.2,67.8,59.2,47.4,38.2,28.8,46.4,51.0,59.2,68.8,75.9,83.6,88.8,89.2,81.2,70.4,59.0,48.4
Arkansas State,"Jonesboro, AR",35.8428646,-90.7034522,45.27,0.09,25.7,29.7,38.0,48.0,57.4,65.9,69.7,68.3,59.5,48.2,37.9,28.9,45.7,50.8,61.0,71.1,79.7,87.8,90.7,90.3,83.4,73.0,59.9,48.2
Army,"West Point, NY",40.8512481,-72.5359869,47.75,2.68,19.4,20.4,26.5,34.6,44.7,55.6,61.1,60.8,52.4,40.9,33.0,24.3,38.5,40.0,47.2,56.8,66.0,75.3,80.8,79.6,72.9,63.1,53.6,43.9
Auburn,"Auburn, AL",32.535699,-85.48677785023041,52.55,0.07,33.2,37.9,42.7,49.7,58.8,66.9,70.4,69.8,64.4,53.3,43.9,35.5,56.7,61.7,68.6,75.4,82.6,88.1,90.3,89.2,84.4,75.4,66.6,57.9
Azusa Pacific,"Azusa, CA",34.1338751,-117.9056046,5.98,0.0,43.5,46.7,51.7,58.0,66.7,75.1,82.0,81.6,74.9,62.5,50.2,41.9,67.8,72.2,78.5,86.1,94.9,103.9,107.7,106.6,101.0,89.4,76.3,66.2
Ball St.,"Muncie, IN",40.1936892,-85.3865271,41.82,1.76,17.1,19.4,27.6,38.5,49.4,59.2,62.2,59.6,51.4,40.4,32.0,21.5,33.8,37.7,48.4,61.4,71.7,80.9,84.0,82.7,76.9,64.6,51.3,37.6
Ball State,"Muncie, IN",40.1936892,-85.3865271,41.82,1.76,17.1,19.4,27.6,38.5,49.4,59.2,62.2,59.6,51.4,40.4,32.0,21.5,33.8,37.7,48.4,61.4,71.7,80.9,84.0,82.7,76.9,64.6,51.3,37.6
Baylor,"Waco, TX",31.549333,-97.1466695,36.61,0.06,35.0,39.1,46.4,54.1,64.0,70.9,74.4,74.3,66.5,56.2,46.4,36.8,59.1,62.4,69.3,77.3,84.1,90.9,95.3,96.2,89.7,80.2,69.0,59.9
Boise St.,"Boise, ID",43.6166163,-116.200886,18.64,3.45,24.7,28.3,34.4,39.3,46.5,53.7,60.4,59.6,51.0,40.9,31.9,24.0,37.8,44.7,54.6,62.3,71.6,81.3,91.2,89.7,78.8,64.8,48.2,37.5
Boise State,"Boise, ID",43.6166163,-116.200886,18.64,3.45,24.7,28.3,34.4,39.3,46.5,53.7,60.4,59.6,51.0,40.9,31.9,24.0,37.8,44.7,54.6,62.3,71.6,81.3,91.2,89.7,78.8,64.8,48.2,37.5
Boston College,"Chestnut Hill, MA",42.3306529,-71.1661647,48.82,7.48,18.1,20.8,28.2,37.4,47.1,57.2,62.6,61.3,53.4,41.3,33.8,24.3,35.8,39.4,46.8,58.1,69.0,78.6,83.7,81.8,74.4,63.1,52.3,40.9
Bowling Green,"Bowling Green, OH",41.3747744,-83.6513229,36.01,2.76,17.3,19.3,26.8,37.1,48.0,58.5,62.0,59.5,51.7,41.1,32.1,22.3,31.8,35.3,46.0,59.3,70.5,80.5,84.1,81.9,75.6,62.9,49.6,36.2
Bowling Green State,"Bowling Green, OH",41.3747744,-83.6513229,36.01,2.76,17.3,19.3,26.8,37.1,48.0,58.5,62.0,59.5,51.7,41.1,32.1,22.3,31.8,35.3,46.0,59.3,70.5,80.5,84.1,81.9,75.6,62.9,49.6,36.2
Brigham Young,"Provo, UT",40.2338438,-111.6585337,13.26,7.44,22.3,25.7,33.3,39.3,46.8,54.0,61.0,59.7,50.7,40.2,31.1,23.5,39.6,45.6,56.5,64.9,74.8,85.4,93.6,91.6,81.6,67.4,51.6,40.0
Buffalo,"Amherst, NY",42.9783924,-78.7997616,39.6,7.61,18.5,19.2,26.0,36.8,47.4,57.3,62.3,60.8,53.4,42.7,33.9,24.1,31.2,33.3,42.0,55.0,66.5,75.3,79.9,78.4,71.1,59.0,47.6,36.1
BYU,"Provo, UT",40.2338438,-111.6585337,13.26,7.44,22.3,25.7,33.3,39.3,46.8,54.0,61.0,59.7,50.7,40.2,31.1,23.5,39.6,45.6,56.5,64.9,74.8,85.4,93.6,91.6,81.6,67.4,51.6,40.0
California,"Berkeley, CA",37.8708393,-122.2728639,26.74,0.0,42.0,44.2,45.7,46.5,49.4,51.7,53.0,53.9,53.4,51.5,46.6,42.6,58.4,61.6,64.2,66.8,69.7,73.2,73.9,74.3,74.8,72.5,64.8,58.6
California (PA),"California, PA",40.0657724,-79.8918436,37.97,10.68,15.2,16.6,23.7,33.0,42.0,51.0,55.2,54.0,47.0,35.9,27.7,18.8,34.6,38.6,47.9,60.8,68.7,75.3,78.0,76.7,70.2,60.5,49.6,38.1
California-Davis,"Davis, CA",38.545379,-121.7445835,19.6,0,38.1,40.8,43.7,46.3,51.5,55.9,57.3,56.1,54.4,49.2,42.5,37.8,53.9,60.1,65.8,72.5,81.2,88.6,93.4,92.5,88.9,79.1,64.5,54.3
Central Florida,"Orlando, FL",28.5421109,-81.3790304,53.17,0.0,49.8,53.4,57.2,61.7,67.8,73.2,75.5,75.6,74.1,67.7,59.8,53.8,70.7,73.1,77.4,82.1,87.9,90.7,91.8,91.6,89.2,84.1,77.9,72.2
Central Michigan,"Mount Pleasant, MI",43.597646,-84.7668495,32.34,3.95,13.9,14.4,21.9,32.8,44.7,55.4,59.4,57.0,49.1,38.5,29.3,20.2,28.2,31.1,41.5,55.8,68.0,77.9,82.4,79.8,71.9,58.6,44.5,33.0
Central Missouri,"Warrensburg, MS",32.4034758,-88.8000484,52.66,0.01,32.4,35.8,41.9,49.0,58.7,66.6,69.9,69.3,62.7,50.1,40.4,34.3,56.5,60.9,69.2,76.4,83.2,89.3,91.5,91.5,86.8,77.1,68.5,58.6
Central Washington,"Ellensburg, WA",46.9970635,-120.5451223,22.27,2.19,21.0,23.6,29.2,34.4,42.3,48.8,53.8,52.3,43.4,33.5,26.9,19.5,35.3,42.0,53.1,60.6,68.7,75.5,84.0,83.8,75.6,61.8,45.1,33.0
Charlotte,"Charlotte, NC",35.2272,-80.843083,42.0,0.09,29.6,32.7,39.3,46.9,55.8,64.5,68.1,67.2,60.4,48.8,39.2,31.9,50.7,55.0,63.1,71.9,78.9,86.0,89.0,87.5,81.3,71.8,62.4,52.9
