year,player,pos,college,weight,height_inches,forty,vertical,bench,broad,threecone,shuttle
2019,A.J. Brown,WR,Mississippi,226,72,4.49,36.5,19,120,NA,NA
2019,Albert Huggins,DL,Clemson,305,75,5.12,25.5,35,101,7.84,4.84
2019,Alec Ingold,FB,Wisconsin,242,73,4.89,34,16,116,7.35,4.32
2019,Alex Barnes,RB,Kansas St.,226,72,4.59,38.5,34,126,6.95,4.1
2019,Alexander Mattison,RB,Boise St.,221,71,4.67,35,22,127,7.13,4.29
2019,Alijah Holder,CB,Stanford,191,73,4.6,36,9,121,6.7,4.15
2019,Alize Mack,TE,Notre Dame,249,76,4.7,36,22,120,7.27,4.34
2019,Amani Hooker,S,Iowa,210,71,4.48,37,14,123,6.81,4.1
2019,Amani Oruwariye,CB,Penn St.,205,74,4.47,36.5,17,120,6.82,4.16
2019,Andre Dillard,OT,Washington St.,315,77,4.96,29,24,118,7.44,4.4
2019,Andrew Van ginkel,OLB,Wisconsin,241,75,NA,38,17,123,6.89,4.14
2019,Andrew Wingard,S,Wyoming,209,72,4.56,36.5,9,121,7.08,4.2
2019,Andy Isabella,WR,Massachusetts,188,69,4.31,36.5,15,121,6.95,4.15
2019,Anthony Johnson,WR,Buffalo,209,74,NA,32.5,18,122,7.12,NA
2019,Anthony Nelson,DL,Iowa,271,79,4.82,35.5,18,118,6.95,4.23
2019,Antoine Wesley,WR,Texas Tech,206,76,NA,37,6,117,7.07,4.26
2019,Armon Watts,DL,Arkansas,300,77,5.23,NA,NA,NA,NA,NA
2019,Austin Bryant,DE,Clemson,271,76,NA,NA,NA,NA,NA,NA
2019,Azeez Al-Shaair,OLB,Florida Atlantic,234,73,NA,NA,16,NA,NA,NA
2019,Beau Benzschawel,OT,Wisconsin,309,78,5.24,NA,20,NA,NA,NA
2019,Ben Banogu,DE,TCU,250,75,4.62,40,23,134,7.02,4.27
2019,Ben Burr-Kirven,OLB,Washington,230,72,4.56,34.5,21,121,6.85,4.09
2019,Ben Powers,OT,Oklahoma,307,76,NA,NA,21,NA,NA,NA
2019,Benny Snell,RB,Kentucky,224,70,4.66,29.5,16,119,7.07,4.33
2019,Bisi Johnson,WR,Colorado St.,204,72,4.51,38,14,124,6.88,4.16
2019,Blace Brown,CB,Troy,194,72,4.75,NA,14,126,7.33,4.22
2019,Blake Cashman,OLB,Minnesota,237,73,4.5,37.5,18,124,6.95,4.12
2019,Blessuan Austin,CB,Rutgers,198,73,NA,NA,15,NA,NA,NA
2019,Bobby Evans,OT,Oklahoma,312,76,5.2,NA,22,NA,NA,NA
2019,Bobby Okereke,OLB,Stanford,239,73,4.58,33.5,NA,122,7.25,4.26
