Geographic Location,county,state,poverty_pct,med_income
"Lakeland, FL", Polk County, FL,9.6,"$69,212"
"Howe, TX", Grayson County, TX,18.4,"$69,212"
"Northport, AL", Tuscaloosa County, AL,16.8,"$69,212"
"Bristow, VA", Prince William County, VA,6.4,"$69,212"
"Covington, GA", Newton County, GA,22.3,"$69,212"
"Fairfield, CT", Eau Claire County, CT,12.9,"$69,212"
"Mineola, NY", Nassau County, NY,5.8,"$69,212"
"Northville, MI", Wayne County, MI,20.9,"$69,212"
"Cincinnati, OH", Hamilton County, OH,14.7,"$69,212"
"Danville, CA", Contra Costa County, CA,7.8,"$69,212"
"West Orange, NJ", Essex County, NJ,13.7,"$69,212"
"Port Orange, FL", Volusia County, FL,13.2,"$69,212"
"Babylon, NY", Suffolk County, NY,7.3,"$69,212"
"Union City, MI", Branch County, MI,14.5,"$69,212"
"Mission Hills, CA", Santa Barbara County, CA,12.6,"$69,212"
"Lake Orion, MI", Oakland County, MI,8.2,"$69,212"
"Plainfield, NJ", Union County, NJ,19.8,"$69,212"
"Fishers, IN", Hamilton County, IN,14.7,"$69,212"
"Indianapolis, IN",,,,"$69,212"
"Crete, IL", Will County, IL,6.4,"$69,212"
"Lorain, OH",Lorain County, OH,14.2,"$69,212"
"Boynton Beach, FL", Palm Beach County, FL,12.2,"$69,212"
"Hialeah, FL", Miami-Dade County, FL,16.0,"$69,212"
"Compton, CA", Los Angeles County, CA,14.2,"$69,212"
"Lincoln, CA", Placer County, CA,7.1,"$69,212"
"Little Rock, AR",,,,"$69,212"
"Clovis, CA", Fresno County, CA,21.3,"$69,212"
"Thousand Oaks, CA", Ventura County, CA,9.1,"$69,212"
"Lake Forest, CA", Orange County, CA,9.4,"$69,212"
"Brockton, MA", Plymouth County, MA,6.2,"$69,212"
"Charlton, MA", Worcester County, MA,9.0,"$69,212"
"Winchester, MA", Middlesex County, MA,12.7,"$69,212"
"Lynnfield, MA", Essex County, MA,13.7,"$69,212"
"Cambridge, MA", Middlesex County, MA,12.7,"$69,212"
"Lynnwood, WA", Snohomish County, WA,7.5,"$69,212"
"Valencia, CA", Los Angeles County, CA,14.2,"$69,212"
"Nassau, NP", Lac qui Parle County, NP,9.5,"$69,212"
"Amarillo, TX", Potter County, TX,19.7,"$69,212"
"Fullerton, CA", Orange County, CA,9.4,"$69,212"
"Panama City, FL", Bay County, FL,15.6,"$69,212"
"Champaign, IL", Champaign County, IL,10.0,"$69,212"
"Orange, TX",Orange County, TX,9.4,"$69,212"
"Sandusky, OH",Sandusky County, OH,10.0,"$69,212"
"Novato, CA", Marin County, CA,6.6,"$69,212"
"Laplace, LA",,,,"$69,212"
"Huntington Beach, CA", Orange County, CA,9.4,"$69,212"
"San Diego, CA", San Diego County, CA,11.5,"$69,212"
"Moorpark, CA", Ventura County, CA,9.1,"$69,212"
"Eloy, AZ", Pinal County, AZ,12.9,"$69,212"
"Cedar Creek, TX", Angelina County, TX,17.9,"$69,212"
"Colleyville, TX", Tarrant County, TX,12.1,"$69,212"
"Mesquite, TX", Dallas County, TX,14.2,"$69,212"
"Hoschton, GA", Jackson County, GA,12.0,"$69,212"
"Belton, SC", Anderson County, SC,19.8,"$69,212"
"Ewa Beach, HI", Honolulu County, HI,7.7,"$69,212"
"Shreveport, LA", Caddo Parish, LA,22.4,"$69,212"
"Brusly, LA", West Baton Rouge Parish, LA,12.8,"$69,212"
"Jackson, MS", Multnomah County, MS,12.0,"$69,212"
"High Point, NC", Guilford County, NC,15.4,"$69,212"
"Pelahatchie, MS", Rankin County, MS,9.6,"$69,212"
"Lafayette, LA", Lafayette Parish, LA,15.3,"$69,212"
"Long Beach, CA", Los Angeles County, CA,14.2,"$69,212"
"Scottsdale, AZ", Maricopa County, AZ,12.3,"$69,212"
"Oklahoma City, OK", Oklahoma County, OK,16.9,"$69,212"
"Cary, IL", McHenry County, IL,11.9,"$69,212"
"Bellefontaine, OH", Logan County, OH,24.6,"$69,212"
"Bellflower, CA", Los Angeles County, CA,14.2,"$69,212"
"Missouri City, TX", Fort Bend County, TX,7.9,"$69,212"
"Hobbs, NM", Lea County, NM,16.1,"$69,212"
"West Covina, CA", Los Angeles County, CA,14.2,"$69,212"
"Grand Rapids, MI", Kent County, MI,13.3,"$69,212"
"Pensacola, FL", Escambia County, FL,14.7,"$69,212"
"Middleton, WI", Dane County, WI,10.8,"$69,212"
"Memphis, TN", Shelby County, TN,20.6,"$69,212"
"Melbourne, VIC       ",,,,"$69,212"
"New Orleans, LA", Orleans Parish, LA,23.8,"$69,212"
"Puckett, MS", Rankin County, MS,9.6,"$69,212"
"Huntersville, NC", Mecklenburg County, NC,18.7,"$69,212"
"San Juan, TX", Hidalgo County, TX,30.0,"$69,212"
"Dothan, AL", Houston County, AL,26.1,"$69,212"
"Tulare, CA",Tulare County, CA,22.2,"$69,212"
"Fresno, CA", Fresno County, CA,21.3,"$69,212"
"Tampa, FL", Hillsborough County, FL,7.4,"$69,212"
