fms_college_id,college,city_state,city,state,county,latitude,longitude
180,Ole Miss,"Oxford, MS",Oxford, MS, Oakland County,34.366412700000005,-89.5187664
48,Clemson,"Clemson, SC",Clemson, SC, Pickens County,34.685074900000004,-82.83641109999998
316,Wisconsin,"Madison, WI",Madison, WI, Dane County,43.074761,-89.3837613
106,Kansas State,"Manhattan, KS",Manhattan, KS, Riley County,39.1836082,-96.5716694
25,Boise State,"Boise, ID",Boise, ID, Ada County,43.6166163,-116.200886
218,Stanford,"Stanford, CA",Stanford, CA, Santa Clara County,37.427467,-122.1702445
173,Notre Dame,"Notre Dame, IN",Notre Dame, IN, Saint Joseph County,41.70456775,-86.23822026017265
100,Iowa,"Iowa City, IA",Iowa City, IA, Johnson County,41.6612561,-91.5299106
184,Penn State,"State College, PA",State College, PA, Centre County,40.7944504,-77.86163859999998
302,Washington State,"Pullman, WA",Pullman, WA, Whitman County,46.7304268,-117.173895
318,Wyoming,"Laramie, WY",Laramie, WY, Gloucester County,41.311367,-105.591101
254,UMass,"Amherst, MA",Amherst, MA, Hampshire County,42.3685658,-72.505714
28,Buffalo,"Amherst, NY",Amherst, NY, Erie County,42.9783924,-78.7997616
238,Texas Tech,"Lubbock, TX",Lubbock, TX, Lubbock County,33.563520600000004,-101.879336
11,Arkansas,"Fayetteville, AR",Fayetteville, AR, Washington County,36.0625843,-94.1574328
72,Florida Atlantic,"Boca Raton, FL",Boca Raton, FL, Palm Beach County,26.3586885,-80.08309840000003
224,TCU,"Fort Worth, TX",Fort Worth, TX, Tarrant County,32.753177,-97.3327459
301,Washington,"Ellensburg, WA",Ellensburg, WA, Kittitas County,46.9970635,-120.5451223
177,Oklahoma,"Norman, OK",Norman, OK,,35.2225717,-97.4394816
109,Kentucky,"Lexington, KY",Lexington, KY, Fayette County,38.0464066,-84.4970393
54,Colorado State,"Fort Collins, CO",Fort Collins, CO, Larimer County,40.5508527,-105.0668085
247,Troy,"Troy, AL",Troy, AL, San Francisco City and County,31.8087678,-85.969951
132,Minnesota,"Minneapolis, MN",Minneapolis, MN, Hennepin County,44.9772995,-93.2654692
193,Rutgers,"Piscataway, NJ",Piscataway, NJ, Middlesex County,40.5462553,-74.46604079999999
95,Indiana,"Bloomington, IN",Bloomington, IN, Monroe County,39.1670396,-86.5342881
75,Florida State,"Tallahassee, FL",Tallahassee, FL, Leon County,30.4380832,-84.2809332
203,South Carolina,"Columbia, SC",Columbia, SC, Richland County,34.000749299999995,-81.03433129999998
123,Maryland,"College Park, MD",College Park, MD, Prince George's County,38.980666,-76.9369189
253,UCLA,"Los Angeles, CA",Los Angeles, CA, Los Angeles County,34.0536909,-118.2427666
256,USC,"Los Angeles, CA",Los Angeles, CA, Los Angeles County,34.0536909,-118.2427666
70,Florida,"Gainesville, FL",Gainesville, FL, Alachua County,29.6519684,-82.3249846
230,Texas,"Austin, TX",Austin, TX, Travis County,30.2711286,-97.7436995
290,Utah,"Salt Lake City, UT",Salt Lake City, UT, Salt Lake County,40.7596198,-111.8867975
128,Michigan,"Ann Arbor, MI",Ann Arbor, MI, Washtenaw County,42.2681569,-83.7312291
26,Boston College,"Chestnut Hill, MA",Chestnut Hill, MA,,42.3306529,-71.1661647
223,Syracuse,"Syracuse, NY",Syracuse, NY, Onondaga County,43.0481221,-76.1474244
