fms_id,espn_id,fms_college_id,full_name,first_name,last_name,position,position_group,section,college,draft_year,selection_number,position_rank,position_group_rank,section_rank,drafting_team,home_city,home_state,home_country,college_weight_pounds,college_height_inches
2,4047646.0,180,A.J. Brown,A.J.,Brown,WR,WR,O,Ole Miss,2019,,,,,,Starkville,MS        ,USA,226,72
102,3728248.0,48,Albert Huggins,Albert,Huggins,DL,DL,D,Clemson,2019,,,,,,Orangeburg,SC        ,USA,305,75
108,3917668.0,316,Alec Ingold,Alec,Ingold,FB,RB,O,Wisconsin,2019,,,,,,Green Bay,WI        ,USA,242,73
113,3886636.0,106,Alex Barnes,Alex,Barnes,RB,RB,O,Kansas State,2019,,,,,,Pittsburg,KS        ,USA,226,72
136,4048244.0,25,Alexander Mattison,Alexander,Mattison,RB,RB,O,Boise State,2019,,,,,,San Bernardino,CA        ,USA,221,71
143,3117249.0,218,Alijah Holder,Alijah,Holder,CB,DB,D,Stanford,2019,,,,,,Oceanside,CA        ,USA,191,73
144,3932433.0,173,Alize Mack,Alize,Mack,TE,TE,O,Notre Dame,2019,,,,,,Las Vegas,NV        ,USA,249,76
163,4036134.0,100,Amani Hooker,Amani,Hooker,S,DB,D,Iowa,2019,,,,,,Minneapolis,MN        ,USA,210,71
164,3116175.0,184,Amani Oruwariye,Amani,Oruwariye,CB,DB,D,Penn State,2019,,,,,,Tampa,FL        ,USA,205,74
179,3127264.0,302,Andre Dillard,Andre,Dillard,OT,OL,O,Washington State,2019,,,,,,Woodinville,WA        ,USA,315,77
210,,316,Andrew Van ginkel,Andrew,Van,OLB,LB,D,Wisconsin,2019,,,,,,,,,241,75
213,3918331.0,318,Andrew Wingard,Andrew,Wingard,S,DB,D,Wyoming,2019,,,,,,Arvada,CO        ,USA,209,72
216,3914328.0,254,Andy Isabella,Andy,Isabella,WR,WR,O,UMass,2019,,,,,,Mayfield,OH        ,USA,188,69
248,4049301.0,28,Anthony Johnson,Anthony,Johnson,WR,WR,O,Buffalo,2019,,,,,,Rock Hill,SC        ,USA,209,74
256,3145005.0,100,Anthony Nelson,Anthony,Nelson,DL,DL,D,Iowa,2019,,,,,,Cedar Rapids,IA        ,USA,271,79
275,4043161.0,238,Antoine Wesley,Antoine,Wesley,WR,WR,O,Texas Tech,2019,,,,,,Las Vegas,NV        ,USA,206,76
311,3128685.0,11,Armon Watts,Armon,Watts,DL,DL,D,Arkansas,2019,,,,,,,,USA,300,77
337,3728253.0,48,Austin Bryant,Austin,Bryant,DE,DL,D,Clemson,2019,,,,,,Pavo,GA        ,USA,271,76
353,3919117.0,72,Azeez Al-Shaair,Azeez,Al-Shaair,OLB,LB,D,Florida Atlantic,2019,,,,,,Tampa,FL        ,USA,234,73
381,3121537.0,316,Beau Benzschawel,Beau,Benzschawel,OT,OL,O,Wisconsin,2019,,,,,,Green Bay,WI        ,USA,309,78
385,3124970.0,224,Ben Banogu,Ben,Banogu,DE,DL,D,TCU,2019,,,,,,Mckinney,TX        ,USA,250,75
388,3886816.0,301,Ben Burr-Kirven,Ben,Burr-Kirven,OLB,LB,D,Washington,2019,,,,,,Menlo Park,CA        ,USA,230,72
401,4037650.0,177,Ben Powers,Ben,Powers,OT,OL,O,Oklahoma,2019,,,,,,Wichita,KS        ,USA,307,76
414,,109,Benny Snell,Benny,Snell,RB,RB,O,Kentucky,2019,,,,,,,,,224,70
434,3917067.0,54,Bisi Johnson,Bisi,Johnson,WR,WR,O,Colorado State,2019,,,,,,Lakewood,CO        ,USA,204,72
436,3128652.0,247,Blace Brown,Blace,Brown,CB,DB,D,Troy,2019,,,,,,Canton,GA        ,USA,194,72
443,3728281.0,132,Blake Cashman,Blake,Cashman,OLB,LB,D,Minnesota,2019,,,,,,Eden Prairie,MN        ,USA,237,73
446,3930021.0,193,Blessuan Austin,Blessuan,Austin,CB,DB,D,Rutgers,2019,,,,,,Queens,NY        ,USA,198,73
454,3706968.0,177,Bobby Evans,Bobby,Evans,OT,OL,O,Oklahoma,2019,,,,,,Allen,TX        ,USA,312,76
461,3117253.0,218,Bobby Okereke,Bobby,Okereke,OLB,LB,D,Stanford,2019,,,,,,Santa Ana,CA        ,USA,239,73
527,3929795.0,95,Brandon Knight,Brandon,Knight,OT,OL,O,Indiana,2019,,,,,,Noblesville,IN        ,USA,314,76
584,3722362.0,25,Brett Rypien,Brett,Rypien,QB,QB,O,Boise State,2019,,,,,,Spokane,WA        ,USA,210,74
591,4035631.0,75,Brian Burns,Brian,Burns,DE,DL,D,Florida State,2019,,,,,,Fort Lauderdale,FL        ,USA,249,77
645,3931398.0,218,Bryce Love,Bryce,Love,RB,RB,O,Stanford,2019,,,,,,Wake Forest,NC        ,USA,200,69
649,3126478.0,203,Bryson Allen-Williams,Bryson,Allen-Williams,OLB,LB,D,South Carolina,2019,,,,,,Ellenwood,GA        ,USA,236,73
656,,123,Byron Cowart,Byron,Cowart,DL,DL,D,Maryland,2019,,,,,,,,,298,75
662,4038999.0,301,Byron Murphy,Byron,Murphy,CB,DB,D,Washington,2019,,,,,,Scottsdale,AZ        ,USA,190,71
667,3915230.0,109,C.J. Conrad,C.J.,Conrad,TE,TE,O,Kentucky,2019,,,,,,Lagrange,OH        ,USA,249,76
685,3932936.0,253,Caleb Wilson,Caleb,Wilson,TE,TE,O,UCLA,2019,,,,,,Dallas,TX        ,USA,240,76
707,3701669.0,256,Cameron Smith,Cameron,Smith,OLB,LB,D,USC,2019,,,,,,Roseville,CA        ,USA,238,74
715,3918310.0,318,Carl Granderson,Carl,Granderson,DE,DL,D,Wyoming,2019,,,,,,Sacramento,CA        ,USA,254,77
748,3915105.0,70,Cece Jefferson,Cece,Jefferson,DE,DL,D,Florida,2019,,,,,,Glen Saint Mary,FL        ,USA,266,73
801,3929865.0,230,Charles Omenihu,Charles,Omenihu,DL,DL,D,Texas,2019,,,,,,Rowlett,TX        ,USA,280,77
818,531024.0,290,Chase Hansen,Chase,Hansen,OLB,LB,D,Utah,2019,,,,,,Highland,UT        ,USA,222,75
828,3115974.0,128,Chase Winovich,Chase,Winovich,DE,DL,D,Michigan,2019,,,,,,Jefferson Hills,PA        ,USA,256,75
830,4034953.0,70,Chauncey Gardner-Johnson,Chauncey,Gardner-Johnson,S,DB,D,Florida,2019,,,,,,Cocoa,FL        ,USA,210,71
901,3672833.0,26,Chris Lindstrom,Chris,Lindstrom,OT,OL,O,Boston College,2019,,,,,,Dudley,MA        ,USA,308,76
920,3124015.0,223,Chris Slayton,Chris,Slayton,DL,DL,D,Syracuse,2019,,,,,,University Park,IL        ,USA,307,76
943,,3,Christian Miller,Christian,Miller,DE,DL,D,Alabama,2019,,,,,,,,,247,75
948,3728266.0,48,Christian Wilkins,Christian,Wilkins,DL,DL,D,Clemson,2019,,,,,,Springfield,MA        ,USA,315,75
964,3116144.0,169,Clayton Thorson,Clayton,Thorson,QB,QB,O,Northwestern,2019,,,,,,Wheaton,IL        ,USA,222,76
965,3728258.0,48,Clelin Ferrell,Clelin,Ferrell,DE,DL,D,Clemson,2019,,,,,,Richmond,VA        ,USA,264,76
985,3926229.0,290,Cody Barton,Cody,Barton,OLB,LB,D,Utah,2019,,,,,,Salt Lake City,UT        ,USA,237,74
997,3126115.0,245,Cody Thompson,Cody,Thompson,WR,WR,O,Toledo,2019,,,,,,Huron,OH        ,USA,205,73
1144,4047650.0,180,D.K. Metcalf,D.K.,Metcalf,WR,WR,O,Ole Miss,2019,,,,,,Oxford,MS        ,USA,228,75
1109,,80,D'Andre Walker,D'Andre,Walker,DE,DL,D,Georgia,2019,,,,,,,,,251,74
1113,3121542.0,316,D'Cota Dixon,D'Cota,Dixon,S,DB,D,Wisconsin,2019,,,,,,Oak Hill,FL        ,USA,204,70
1161,3139453.0,238,Dakota Allen,Dakota,Allen,OLB,LB,D,Texas Tech,2019,,,,,,Humble,TX        ,USA,232,73
1166,3125082.0,106,Dalton Risner,Dalton,Risner,OT,OL,O,Kansas State,2019,,,,,,Wiggins,CO        ,USA,312,77
1173,3930064.0,180,Damarkus Lodge,Damarkus,Lodge,WR,WR,O,Ole Miss,2019,,,,,,Cedar Hill,TX        ,USA,202,74
1182,3925347.0,3,Damien Harris,Damien,Harris,RB,RB,O,Alabama,2019,,,,,,Richmond,KY        ,USA,216,70
