fms_college_id,college,year,football_spending,coaches_salaries,ticket_sales
180,Ole Miss,2005.0,8928252.0,2979318.0,10990294.0
180,Ole Miss,2006.0,8042454.0,2094363.0,11134668.0
180,Ole Miss,2007.0,8180831.0,3477482.0,12068364.0
180,Ole Miss,2008.0,7839775.0,2403021.0,12703616.0
180,Ole Miss,2009.0,10644137.0,2914490.0,12244485.0
180,Ole Miss,2010.0,13120548.0,5699241.0,14535266.0
180,Ole Miss,2011.0,18954144.0,6111363.0,13990839.0
180,Ole Miss,2012.0,19589624.0,5211521.0,14059017.0
180,Ole Miss,2013.0,29122528.0,5249109.0,16806010.0
180,Ole Miss,2014.0,27734436.0,6187524.0,17519688.0
180,Ole Miss,2015.0,27381454.0,7776065.0,19579812.0
180,Ole Miss,2016.0,34181972.0,9187170.0,20616536.0
180,Ole Miss,2017.0,35317988.0,10130103.0,23738310.0
180,Ole Miss,2018.0,35377132.0,8133900.0,22332066.0
48,Clemson,2005.0,,,16496341.0
48,Clemson,2006.0,15925743.0,3775821.0,17520728.0
48,Clemson,2007.0,16067735.0,3866155.0,24203312.0
48,Clemson,2008.0,17477228.0,4649479.0,23518322.0
48,Clemson,2009.0,21689748.0,4069294.0,23806220.0
48,Clemson,2010.0,19937758.0,5448936.0,21878474.0
48,Clemson,2011.0,19198236.0,3693278.0,22125940.0
48,Clemson,2012.0,25239880.0,8192045.0,22001172.0
48,Clemson,2013.0,23015756.0,6787351.0,22606624.0
48,Clemson,2014.0,27349568.0,8776414.0,20260642.0
48,Clemson,2015.0,29391472.0,8368484.0,22165932.0
48,Clemson,2016.0,40877048.0,9992683.0,23537134.0
48,Clemson,2017.0,43921240.0,10931675.0,25960272.0
48,Clemson,2018.0,46283756.0,15358458.0,27649598.0
316,Wisconsin,2005.0,27029896.0,4650742.0,25898008.0
316,Wisconsin,2006.0,27256240.0,7436858.0,25642572.0
316,Wisconsin,2007.0,,3815513.0,29432368.0
316,Wisconsin,2008.0,25533316.0,7209403.0,30027758.0
316,Wisconsin,2009.0,25408308.0,4411260.0,29127416.0
316,Wisconsin,2010.0,24260408.0,4404850.0,28322836.0
316,Wisconsin,2011.0,25248032.0,5559887.0,29164200.0
316,Wisconsin,2012.0,25330312.0,6500068.0,28819486.0
316,Wisconsin,2013.0,32773998.0,6336161.0,28513048.0
316,Wisconsin,2014.0,31715168.0,5829721.0,27936780.0
316,Wisconsin,2015.0,31076424.0,6334798.0,28892860.0
316,Wisconsin,2016.0,30731316.0,6039836.0,30959974.0
316,Wisconsin,2017.0,33147288.0,6778138.0,28773188.0
316,Wisconsin,2018.0,38285424.0,9530592.0,32506180.0
106,Kansas State,2005.0,10404900.0,3587894.0,15689701.0
106,Kansas State,2006.0,10681416.0,3664506.0,14845867.0
106,Kansas State,2007.0,11817419.0,,16616959.0
106,Kansas State,2008.0,11586598.0,3346407.0,15783270.0
106,Kansas State,2009.0,15683862.0,4941110.0,15820565.0
106,Kansas State,2010.0,12445889.0,4479187.0,14975933.0
106,Kansas State,2011.0,13879508.0,4381948.0,15368213.0
106,Kansas State,2012.0,14273780.0,5167225.0,15272012.0
106,Kansas State,2013.0,16456543.0,5649503.0,15533827.0
106,Kansas State,2014.0,16475510.0,6338637.0,15871101.0
106,Kansas State,2015.0,16264968.0,6951567.0,16553494.0
106,Kansas State,2016.0,17796348.0,6569364.0,15493405.0
106,Kansas State,2017.0,19920372.0,7260004.0,15274064.0
106,Kansas State,2018.0,19996794.0,7673393.0,15598454.0
25,Boise State,2005.0,6350508.0,2220320.0,4370579.0
25,Boise State,2006.0,5604987.0,1991168.0,4578290.0
25,Boise State,2007.0,11343059.0,3289106.0,5128762.0
25,Boise State,2008.0,8253084.0,3256852.0,6953190.0
25,Boise State,2009.0,7586569.0,3102449.0,6342562.0
25,Boise State,2010.0,18303864.0,4795672.0,7817687.0
25,Boise State,2011.0,15820934.0,4202882.0,8125849.0
25,Boise State,2012.0,18904988.0,4560560.0,8683682.0
25,Boise State,2013.0,15668950.0,5187327.0,8453968.0
25,Boise State,2014.0,19328972.0,4958722.0,8544333.0
25,Boise State,2015.0,16651745.0,4009607.0,8029438.0
25,Boise State,2016.0,17307082.0,3699647.0,7853132.0
25,Boise State,2017.0,17382028.0,4081511.0,7378826.0
25,Boise State,2018.0,18123036.0,4884765.0,6591176.0
218,,,,,
173,,,,,
100,Iowa,2005.0,22274508.0,4709725.0,23315176.0
100,Iowa,2006.0,24773952.0,6552020.0,23914136.0
100,Iowa,2007.0,33550990.0,6338376.0,25155452.0
100,Iowa,2008.0,,6052128.0,21295216.0
100,Iowa,2009.0,30263744.0,6495983.0,24525014.0
100,Iowa,2010.0,20493080.0,7557046.0,24012104.0
100,Iowa,2011.0,22044810.0,8398882.0,24733724.0
100,Iowa,2012.0,22743988.0,8335758.0,26389256.0
100,Iowa,2013.0,22302494.0,8211254.0,26898728.0
100,Iowa,2014.0,24619998.0,8267563.0,26247820.0
100,Iowa,2015.0,24736694.0,8941743.0,26978278.0
100,Iowa,2016.0,31137044.0,10439008.0,25667416.0
100,Iowa,2017.0,31950592.0,11202666.0,28253232.0
100,Iowa,2018.0,33242804.0,11806192.0,25277432.0
184,Penn State,2005.0,9920356.0,0.0,28720860.0
184,Penn State,2006.0,,,
184,Penn State,2007.0,,,
184,Penn State,2008.0,,,
184,Penn State,2009.0,,,
184,Penn State,2010.0,15488145.0,0.0,46048532.0
184,Penn State,2011.0,16057719.0,0.0,38021504.0
184,Penn State,2012.0,19214360.0,0.0,36304696.0
184,Penn State,2013.0,19349306.0,0.0,34406552.0
184,Penn State,2014.0,30719664.0,10749251.0,38532036.0
184,Penn State,2015.0,33951240.0,11368003.0,37504660.0
184,Penn State,2016.0,35647904.0,11327633.0,35188376.0
184,Penn State,2017.0,39791464.0,11426104.0,35500704.0
184,Penn State,2018.0,45219640.0,14196742.0,38187384.0
302,Washington State,2005.0,8217472.0,2370026.0,5519866.0
302,Washington State,2006.0,8750659.0,2271838.0,6784306.0
302,Washington State,2007.0,8720381.0,2149266.0,6557214.0
302,Washington State,2008.0,9223602.0,2436688.0,7526498.0
302,Washington State,2009.0,9994318.0,2309682.0,6691115.0
302,Washington State,2010.0,10105797.0,2266350.0,5702674.0
302,Washington State,2011.0,9809402.0,2373771.0,5443496.0
302,Washington State,2012.0,13296937.0,3640771.0,6844022.0
302,Washington State,2013.0,13041623.0,4831372.0,6992043.0
302,Washington State,2014.0,16482641.0,5324687.0,5969622.0
302,Washington State,2015.0,16848284.0,5437029.0,6892830.0
302,Washington State,2016.0,18430942.0,5836610.0,5532126.0
302,Washington State,2017.0,19053746.0,5981036.0,7656362.0
302,Washington State,2018.0,20023376.0,7269417.0,8406070.0
318,Wyoming,2005.0,5244881.0,2230350.0,3463098.0
318,Wyoming,2006.0,4864040.0,2259070.0,3768953.0
318,Wyoming,2007.0,5211779.0,2493257.0,3956773.0
318,Wyoming,2008.0,6062826.0,2586015.0,3900875.0
318,Wyoming,2009.0,6602786.0,2334051.0,3290395.0
318,Wyoming,2010.0,7075661.0,2196392.0,4242563.0
318,Wyoming,2011.0,6349036.0,2375138.0,3882144.0
318,Wyoming,2012.0,7536427.0,2749511.0,4721294.0
318,Wyoming,2013.0,7192712.0,2633789.0,3709411.0
318,Wyoming,2014.0,7617207.0,2990883.0,3810952.0
318,Wyoming,2015.0,8162745.0,3025704.0,3967613.0
318,Wyoming,2016.0,9273854.0,2754880.0,3500338.0
