fms_id,forty,vertical,bench,broad,threecone,shuttle,defense_ast_tackles,defense_fum_forced,defense_fum_rec,defense_fum_tds,defense_fum_yds,defense_games,defense_int,defense_int_td,defense_int_yards,defense_loss_tackles,defense_pd,defense_sacks,defense_seasons,defense_solo_tackes,defense_tackles,passing_attempts,passing_comp_pct,passing_completions,passing_games,passing_pass_ints,passing_pass_tds,passing_pass_yards,passing_seasons,rushing_games,rushing_rec_td,rushing_rec_yards,rushing_receptions,rushing_rush_att,rushing_rush_td,rushing_rush_yds,rushing_scrim_plays,rushing_scrim_tds,rushing_scrim_yds,rushing_seasons,receiving_games,receiving_rec_td,receiving_rec_yards,receiving_receptions,receiving_rush_att,receiving_rush_td,receiving_rush_yds,receiving_scrim_plays,receiving_scrim_tds,receiving_scrim_yds,receiving_seasons,max_madden
2,4.49,36.5,19.0,120.0,,,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,19,2984,189,0,0,0,189,19,2984,3,81.0
102,5.12,25.5,35.0,101.0,7.84,4.84,35,0,0,0,0,34,1,0,0,13.0,1,7.5,4,34,69,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.0
108,4.89,34.0,16.0,116.0,7.35,4.32,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,36,4,185,14,103,17,343,117,21,528,4,0,0,0,0,0,0,0,0,0,0,0,74.0
113,4.59,38.5,34.0,126.0,6.95,4.1,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,35,0,223,25,458,25,2616,483,25,2839,4,0,0,0,0,0,0,0,0,0,0,0,63.0
136,4.67,35.0,22.0,127.0,7.13,4.29,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,38,1,511,60,581,33,2829,641,34,3340,3,0,0,0,0,0,0,0,0,0,0,0,74.0
143,4.6,36.0,9.0,121.0,6.7,4.15,42,5,0,0,0,36,2,1,63,6.5,24,0.0,4,89,131,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.0
144,4.7,36.0,22.0,120.0,7.27,4.34,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,4,716,68,0,0,0,68,4,716,3,62.0
163,4.48,37.0,14.0,123.0,6.81,4.1,45,0,0,0,0,25,6,1,90,3.5,9,1.0,3,80,125,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0
164,4.47,36.5,17.0,120.0,6.82,4.16,34,1,0,0,0,38,8,1,45,1.0,20,0.0,4,72,106,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.0
179,4.96,29.0,24.0,118.0,7.44,4.4,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0
210,,38.0,17.0,123.0,6.89,4.14,33,4,1,0,0,26,2,1,11,19.5,5,12.0,2,65,98,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
213,4.56,36.5,9.0,121.0,7.08,4.2,180,5,1,0,0,51,10,0,87,25.0,8,4.0,4,274,454,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.0
216,4.31,36.5,15.0,121.0,6.95,4.15,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,30,3526,231,40,2,342,271,32,3868,4,72.0
248,,32.5,18.0,122.0,7.12,,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,25,2367,133,4,0,-5,137,25,2362,2,65.0
256,4.82,35.5,18.0,118.0,6.95,4.23,60,4,1,1,0,37,0,0,0,31.0,7,23.0,4,59,119,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
275,,37.0,6.0,117.0,7.07,4.26,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,9,1547,98,1,0,-2,99,9,1545,3,
311,5.23,,,,,,27,3,0,0,0,19,0,0,0,8.5,2,7.0,4,29,56,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.0
337,,,,,,,61,2,1,0,0,45,1,0,0,37.0,3,21.0,4,69,130,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.0
353,,,16.0,,,,194,1,0,0,0,43,1,1,30,31.0,6,7.5,4,201,395,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.0
381,5.24,,20.0,,,,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0
385,4.62,40.0,23.0,134.0,7.02,4.27,58,7,3,1,0,40,0,0,0,45.0,3,20.0,3,98,156,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0
388,4.56,34.5,21.0,121.0,6.85,4.09,148,6,3,0,0,47,4,0,60,11.5,10,4.0,4,190,338,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.0
401,,,21.0,,,,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.0
414,4.66,29.5,16.0,119.0,7.07,4.33,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,39,0,216,29,737,48,3873,766,48,4089,3,0,0,0,0,0,0,0,0,0,0,0,72.0
434,4.51,38.0,14.0,124.0,6.88,4.16,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,11,2019,125,1,0,13,126,11,2032,4,
436,4.75,,14.0,126.0,7.33,4.22,35,2,1,0,0,35,12,1,181,2.0,16,0.5,4,76,111,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
443,4.5,37.5,18.0,124.0,6.95,4.12,67,2,1,1,0,36,0,0,0,31.0,6,12.0,4,116,183,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0
446,,,15.0,,,,22,1,1,0,0,25,4,1,42,5.0,18,2.0,4,67,89,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.0
454,5.2,,22.0,,,,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.0
461,4.58,33.5,,122.0,7.25,4.26,105,3,1,0,0,44,1,1,52,20.0,8,10.5,4,122,227,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.0
527,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.0
584,4.91,33.0,,116.0,7.1,4.29,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1617,255.4,1035,50,29,90,13578,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.0
591,4.53,36.0,,129.0,7.01,,52,7,2,0,0,33,0,0,0,38.5,7,23.0,3,71,123,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.0
645,,,18.0,,,,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,49,2,465,49,569,30,3865,618,32,4330,4,0,0,0,0,0,0,0,0,0,0,0,71.0
649,4.88,,14.0,,7.4,,69,1,3,0,0,43,4,0,0,25.0,2,6.5,5,107,176,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
656,5.16,30.0,26.0,111.0,,,20,1,0,0,0,12,2,0,13,5.0,0,3.0,1,18,38,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.0
662,4.55,36.5,14.0,120.0,,,24,2,0,0,0,20,6,1,95,7.0,20,1.0,2,50,74,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.0
667,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,12,1015,80,0,0,0,80,12,1015,4,
685,4.56,29.0,,113.0,7.2,4.4,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,5,1675,114,1,0,4,115,5,1679,3,66.0
707,4.69,39.0,15.0,123.0,,4.23,146,1,3,0,0,46,4,1,126,26.5,14,3.5,4,208,354,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.0
715,4.79,35.0,,119.0,7.44,4.41,77,3,1,1,0,42,3,1,104,35.5,3,16.5,4,96,173,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.0
748,5.02,30.5,17.0,108.0,7.5,4.53,62,1,2,0,0,45,0,0,0,34.5,4,10.5,4,61,123,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
