Data,IPEDS ID,Year,NCAA Subdivision,FBS Conference,Total Expenses,Excess Transfers Back,Other Expenses,Medical,Competition Guarantees,Recruiting,Game Expenses and Travel,Facilities and Equipment,Coaches Compensation,Support and Admin Compensation w/Severance,Athletic Student Aid,Total Revenues,Other Revenue,"Corporate Sponsorship, Advertising, Licensing",Donor Contributions,Competition Guarantees,"NCAA/Conference Distributions, Media Rights, and Post-Season Football",Ticket Sales,Institutional/Government Support,Student Fees,Total Institutional/Government Support and Student Fees,Total Football Spending,Total Football Coaching Salaries
Alabama A & M University,100654,2005,Football Championship Subdivision,,"$5,370,853 ",$0 ,"$158,019 ","$61,448 ","$12,290 ","$34,630 ","$700,874 ","$379,221 ","$1,303,871 ","$452,677 ","$2,267,823 ","$2,068,462 ","$39,573 ","$151,071 ","$14,748 ","$172,129 ","$419,002 ","$367,557 ",$0 ,"$904,383 ","$904,383 ","$1,781,536 ","$514,094 "
Alabama A & M University,100654,2006,Football Championship Subdivision,,"$9,299,994 ",$0 ,"$670,079 ","$416,230 ","$44,459 ","$24,387 ","$948,602 ","$2,279,856 ","$1,765,694 ","$692,385 ","$2,458,302 ","$11,588,385 ","$508,654 ",$0 ,"$32,621 ","$380,928 ","$307,800 ","$553,227 ","$8,956,831 ","$848,322 ","$9,805,153 ","$2,020,751 ","$743,039 "
Alabama A & M University,100654,2007,Football Championship Subdivision,,"$6,199,436 ",$0 ,"$208,346 ","$385,750 ","$45,144 ","$39,733 ","$588,712 ","$102,271 ","$2,078,129 ","$533,119 ","$2,218,232 ","$7,926,019 ","$124,987 ","$66,159 ","$11,575 ","$433,531 ","$484,068 ","$594,116 ","$6,044,654 ","$166,929 ","$6,211,583 ","$2,037,326 ","$866,419 "
Alabama A & M University,100654,2008,Football Championship Subdivision,,"$7,099,002 ",$0 ,"$323,766 ","$236,403 ","$31,436 ","$68,813 ","$1,895,433 ","$256,447 ","$1,876,988 ","$487,143 ","$1,922,573 ","$8,086,755 ","$116,879 ","$89,492 ","$25,305 ","$951,195 ","$464,729 ","$79,219 ","$6,119,909 ","$240,028 ","$6,359,937 ","$2,424,904 ","$867,828 "
Alabama A & M University,100654,2009,Football Championship Subdivision,,"$7,429,767 ",$0 ,"$575,429 ","$253,302 ","$48,664 ","$47,679 ","$997,317 ","$574,773 ","$1,883,685 ","$488,881 ","$2,560,035 ","$9,746,256 ","$119,956 ","$115,752 ","$78,341 ","$773,439 ","$410,058 ","$587,526 ","$7,063,116 ","$598,069 ","$7,661,184 ","$2,341,015 ","$870,925 "
Alabama A & M University,100654,2010,Football Championship Subdivision,,"$7,220,625 ",$0 ,"$404,022 ","$204,489 ","$25,368 ","$63,493 ","$858,762 ","$195,950 ","$1,627,149 ","$966,756 ","$2,874,635 ","$7,248,560 ","$325,178 ","$1,004 ",$0 ,"$888,005 ","$469,178 ","$683,465 ","$4,273,331 ","$608,399 ","$4,881,729 ","$2,298,880 ","$765,946 "
Alabama A & M University,100654,2011,Football Championship Subdivision,,"$7,448,191 ",$0 ,"$211,796 ","$189,049 ",$0 ,"$61,550 ","$933,200 ","$223,186 ","$1,516,303 ","$1,049,886 ","$3,263,222 ","$6,405,306 ","$182,538 ","$1,035 ",$0 ,"$471,400 ","$608,823 ","$325,851 ","$4,141,113 ","$674,546 ","$4,815,659 ","$2,215,273 ","$588,442 "
Alabama A & M University,100654,2012,Football Championship Subdivision,,"$6,903,937 ",$0 ,"$124,996 ","$159,376 ",$0 ,"$57,855 ","$1,247,364 ","$231,664 ","$1,356,796 ","$579,757 ","$3,146,129 ","$5,766,643 ","$254,644 ","$18,806 ",$0 ,"$678,519 ","$412,945 ","$489,891 ","$3,591,248 ","$320,589 ","$3,911,838 ","$2,520,335 ","$671,128 "
Alabama A & M University,100654,2013,Football Championship Subdivision,,"$7,572,084 ",$0 ,"$418,750 ","$201,713 ",$0 ,"$73,635 ","$1,343,287 ","$265,094 ","$1,463,275 ","$1,139,794 ","$2,666,536 ","$7,572,084 ","$201,358 ","$19,171 ",$0 ,"$967,065 ","$417,874 ","$407,150 ","$5,132,937 ","$426,529 ","$5,559,466 ","$2,327,408 ","$699,654 "
Alabama A & M University,100654,2014,Football Championship Subdivision,,"$7,340,959 ",$0 ,"$399,082 ","$179,211 ",$0 ,"$143,184 ","$912,156 ","$140,487 ","$1,765,487 ","$504,369 ","$3,296,983 ","$9,700,681 ","$321,163 ","$12,085 ","$570,505 ","$645,801 ","$326,925 ","$380,077 ","$7,024,405 ","$419,720 ","$7,444,125 ","$2,691,835 ","$864,379 "
Alabama A & M University,100654,2015,Football Championship Subdivision,,"$10,141,456 ",$0 ,"$447,322 ","$286,570 ","$3,038 ","$111,033 ","$1,512,948 ","$965,130 ","$1,787,272 ","$1,505,883 ","$3,522,259 ","$10,359,682 ","$276,404 ","$22,591 ","$503,719 ","$908,316 ","$259,116 ","$387,433 ","$7,700,518 ","$301,584 ","$8,002,102 ","$2,890,636 ","$841,006 "
Alabama A & M University,100654,2016,Football Championship Subdivision,,"$9,372,315 ",$0 ,"$384,970 ","$302,837 ","$51,500 ","$74,858 ","$1,460,189 ","$248,645 ","$1,960,281 ","$1,144,888 ","$3,744,147 ","$2,592,863 ","$366,028 ","$22,816 ","$33,500 ","$1,027,104 ","$509,673 ","$270,029 ","$38,826 ","$324,887 ","$363,713 ","$3,003,670 ","$873,220 "
