Geographic Location,county,state,poverty_pct,med_income
"Lakeland, FL", Polk County, FL,9.6,"$59,990"
"Howe, TX", Grayson County, TX,18.4,"$37,550"
"Northport, AL", Tuscaloosa County, AL,16.8,"$52,557"
"Bristow, VA", Prince William County, VA,6.4,"$106,200"
"Covington, GA", Newton County, GA,22.3,"$43,367"
"Fairfield, CT",,,,"$100,075"
"Mineola, NY", Nassau County, NY,5.8,"$115,301"
"Northville, MI", Wayne County, MI,20.9,"$38,704"
"Cincinnati, OH", Hamilton County, OH,14.7,"$49,210"
"Danville, CA", Contra Costa County, CA,7.8,"$101,463"
"West Orange, NJ", Essex County, NJ,13.7,"$50,785"
"Port Orange, FL", Volusia County, FL,13.2,"$50,285"
"Babylon, NY", Suffolk County, NY,7.3,"$100,075"
"Union City, MI", Branch County, MI,14.5,"$50,477"
"Mission Hills, CA", Santa Barbara County, CA,12.6,"$75,646"
"Lake Orion, MI", Oakland County, MI,8.2,"$80,319"
"Plainfield, NJ", Union County, NJ,19.8,"$40,322"
"Fishers, IN", Hamilton County, IN,14.7,"$49,210"
"Indianapolis, IN",,,,"$100,075"
"Crete, IL", Will County, IL,6.4,"$86,108"
"Lorain, OH",Lorain County, OH,14.2,"$59,265"
"Boynton Beach, FL", Palm Beach County, FL,12.2,"$61,735"
"Hialeah, FL", Miami-Dade County, FL,16.0,"$52,043"
"Compton, CA", Los Angeles County, CA,14.2,"$67,986"
"Lincoln, CA", Placer County, CA,7.1,"$89,175"
"Little Rock, AR",,,,"$100,075"
"Clovis, CA", Fresno County, CA,21.3,"$52,318"
"Thousand Oaks, CA", Ventura County, CA,9.1,"$84,170"
"Lake Forest, CA", Orange County, CA,9.4,"$63,681"
"Brockton, MA", Plymouth County, MA,6.2,"$89,678"
"Charlton, MA", Worcester County, MA,9.0,"$71,767"
"Winchester, MA", Middlesex County, MA,12.7,"$54,871"
"Lynnfield, MA", Essex County, MA,13.7,"$50,785"
"Cambridge, MA", Middlesex County, MA,12.7,"$54,871"
"Lynnwood, WA", Snohomish County, WA,7.5,"$87,096"
"Valencia, CA", Los Angeles County, CA,14.2,"$67,986"
"Nassau, NP", Lac qui Parle County, NP,9.5,"$52,445"
"Amarillo, TX", Potter County, TX,19.7,"$41,912"
