Geographic Location,city_lat,city_lon,ann_rain_inch,ann_snow_inch,min_jan,min_feb,min_mar,min_apr,min_may,min_jun,min_jul,min_aug,min_sep,min_oct,min_nov,min_dec,max_jan,max_feb,max_mar,max_apr,max_may,max_jun,max_jul,max_aug,max_sep,max_oct,max_nov,max_dec
"Lakeland, FL",28.0394654,-81.9498042,52.17,0.0,50.2,52.5,56.2,60.0,66.5,71.7,72.8,73.1,72.1,66.0,58.5,52.3,73.6,76.9,81.0,85.7,90.7,93.2,93.9,94.2,91.7,86.6,79.9,74.5
"Howe, TX",33.5073346,-96.6126637,43.9,0.23,29.6,33.2,41.4,48.2,59.1,67.1,70.8,69.8,61.6,50.0,40.4,30.8,53.3,57.4,65.5,74.0,80.7,88.4,93.4,94.3,86.5,76.7,65.0,54.5
"Northport, AL",33.2449315,-87.6728397782913,54.95,0.02,32.3,36.2,41.9,48.7,58.3,66.5,70.3,69.7,63.3,51.6,42.6,35.4,53.2,57.9,66.0,74.1,81.2,88.2,91.0,90.7,85.4,75.4,65.6,55.5
"Bristow, VA",38.7233263,-77.5365669,41.38,1.52,23.9,25.3,32.3,41.6,53.0,63.1,67.8,66.9,57.5,44.6,35.2,27.5,43.1,46.7,55.7,67.1,75.0,84.4,88.5,86.8,79.7,68.1,58.1,46.6
"Covington, GA",33.5967815,-83.8601827,51.52,0.06,32.0,35.4,41.5,48.6,57.7,66.3,69.8,69.5,62.9,51.4,41.8,34.2,52.8,57.3,65.7,73.6,81.1,87.5,90.0,88.8,83.3,73.5,64.4,54.7
"Fairfield, CT",41.1412078,-73.2637258,51.1,0.0,19.6,21.2,28.9,39.5,49.2,59.1,65.0,63.9,55.5,43.7,34.4,24.4,37.6,40.8,47.4,59.1,68.4,78.3,82.6,81.6,74.6,63.4,53.7,42.9
"Mineola, NY",40.7492678,-73.6406845,49.03,0.0,26.2,27.6,33.9,42.4,51.2,60.7,66.2,65.2,58.2,47.8,39.7,31.2,39.6,42.5,50.2,60.5,70.2,79.5,84.7,83.2,75.9,65.1,55.3,44.7
"Northville, MI",42.4310806,-83.4832262,33.87,5.73,15.4,17.7,24.1,36.0,46.3,56.2,60.5,58.8,51.0,39.3,30.6,21.2,30.4,33.7,43.6,57.1,68.6,78.1,82.7,80.6,72.7,59.7,47.2,34.5
"Cincinnati, OH",39.1014537,-84.5124602,46.17,1.59,22.4,24.9,32.6,41.9,51.5,60.5,64.7,63.2,55.1,43.3,34.3,25.9,40.1,44.7,54.7,66.1,74.9,83.0,86.6,85.8,79.2,67.6,55.5,43.2
"Danville, CA",37.8215929,-121.9999606,18.12,0.0,40.0,40.3,41.8,43.7,48.9,54.3,60.3,59.7,57.8,51.6,44.5,39.8,55.5,56.6,59.8,64.4,70.5,77.6,84.7,84.7,81.7,73.5,61.8,55.2
"West Orange, NJ",40.7987113,-74.2390353,50.79,2.62,20.3,22.2,29.4,39.4,48.5,58.1,63.2,61.5,53.2,41.8,34.5,25.5,37.2,41.1,49.4,61.4,71.4,79.9,84.6,83.1,75.9,64.3,53.6,42.2
"Port Orange, FL",29.101628050000002,-81.01059617608054,49.62,0.0,49.2,50.7,54.5,60.4,66.2,71.1,72.7,73.3,73.0,67.1,59.4,51.7,68.3,70.7,74.2,79.1,84.3,87.7,89.5,89.7,87.0,82.3,77.2,71.2
"Babylon, NY",40.6956552,-73.3256753,42.36,0.0,23.5,25.1,31.8,40.9,50.8,59.9,67.2,66.2,58.8,47.5,38.4,29.3,37.6,41.2,48.6,58.5,68.3,77.4,82.3,80.4,74.0,63.2,53.4,43.0
"Union City, MI",42.0667135,-85.1360882,37.12,3.67,16.9,19.3,27.1,37.9,47.9,57.6,61.1,59.5,51.5,41.0,32.1,21.7,29.8,33.4,43.9,57.3,68.2,77.6,80.9,78.8,71.7,59.4,46.1,33.4
"Mission Hills, CA",34.687584,-120.43901754304565,22.09,0.0,42.3,44.0,45.8,47.0,50.3,53.0,55.4,55.9,54.6,51.0,45.5,41.6,63.4,64.3,65.6,67.1,68.0,70.2,72.2,72.8,73.7,72.6,67.9,62.9
"Lake Orion, MI",42.7844752,-83.2396612,32.43,2.76,15.1,16.3,23.4,34.4,47.1,56.8,61.4,58.9,52.0,39.8,30.6,21.1,29.8,32.7,43.7,56.8,68.0,77.4,82.0,79.7,73.0,59.4,46.7,34.0
"Plainfield, NJ",40.6337136,-74.4073737,50.28,2.53,23.0,25.2,31.8,41.0,50.3,60.0,65.3,63.7,56.1,44.5,36.3,27.8,39.3,43.0,52.4,63.9,73.9,82.5,86.9,85.2,77.9,65.7,54.7,43.3
"Fishers, IN",39.9555928,-86.0138729,41.44,1.76,18.4,21.4,29.8,40.9,50.4,60.4,64.0,62.2,53.8,42.1,33.6,22.3,34.3,38.4,49.6,61.9,71.9,81.5,84.9,84.1,76.9,64.7,51.6,38.0
"Indianapolis, IN",39.7683331,-86.1583502,45.34,1.96,18.8,22.0,30.4,41.4,51.5,61.3,64.4,62.7,54.7,43.3,33.6,22.8,33.9,38.6,49.4,61.6,71.5,80.8,83.5,82.6,76.4,64.2,51.2,37.8
"Crete, IL",41.4445334,-87.6313829,39.6,2.66,15.6,19.0,29.1,39.8,50.0,60.0,65.0,63.1,54.8,42.9,32.4,20.3,30.6,35.0,46.3,59.4,70.2,80.1,83.9,81.9,75.2,63.0,48.3,34.9
"Lorain, OH",41.2633554,-82.1734746,39.14,4.31,17.4,19.3,27.2,37.4,47.5,57.0,61.1,59.0,51.4,40.7,32.8,22.7,33.2,36.5,45.9,59.3,69.7,79.0,82.7,81.0,74.4,62.6,49.9,37.2
"Boynton Beach, FL",26.5256179,-80.0666026,61.39,0.0,55.8,58.3,61.3,63.9,68.2,72.7,74.9,74.9,73.8,70.6,64.5,59.4,75.6,77.1,79.4,82.4,85.9,89.2,90.6,90.8,89.4,86.0,81.2,77.7
"Hialeah, FL",25.8575963,-80.2781057,67.1,0.0,58.6,61.6,64.8,67.7,71.9,75.7,77.1,77.0,75.9,72.5,67.2,62.3,74.7,76.5,78.4,81.6,85.2,87.4,89.1,89.4,87.7,84.3,80.0,76.2
"Compton, CA",33.894927,-118.226624,22.97,0,47.8,48.7,50.4,52.8,56.6,59.8,62.7,62.9,61.7,57.3,51.2,47.3,65.1,65.9,67.4,70.3,71.7,74.6,77.9,78.6,77.7,74.3,68.8,64.6
"Lincoln, CA",38.859829500000004,-121.34239205792437,17.91,0.0,37.8,40.3,42.8,45.7,52.0,58.1,63.7,63.0,59.3,52.2,43.6,37.7,54.5,58.4,62.5,67.5,76.2,84.7,91.7,90.9,85.3,75.5,62.0,54.4
"Little Rock, AR",34.7464809,-92.2895948,50.03,0.44,31.2,34.5,42.7,51.0,61.1,69.4,73.2,72.4,64.5,52.6,42.2,33.7,50.5,55.1,64.0,73.1,81.1,88.9,92.5,92.6,85.6,74.8,63.0,52.3
"Clovis, CA",36.8252277,-119.7029194,12.8,0.19,38.3,41.5,45.6,49.4,56.2,62.4,67.6,66.2,61.5,53.0,43.4,38.0,54.8,61.6,67.6,74.6,84.1,92.0,98.4,97.1,90.9,79.5,65.1,54.9
