first_name,last_name,position,team,madden_rating
Brandon,Marshall,WR,Bears,96
Matt,Forte,HB,Bears,95
Robbie,Gould,K,Bears,93
Alshon,Jeffery,WR,Bears,91
Matt,Slauson,LG,Bears,91
Lamarr,Houston,LE,Bears,89
Tim,Jennings,CB,Bears,88
Jared,Allen,RE,Bears,87
Martellus,Bennett,TE,Bears,87
Lance,Briggs,ROLB,Bears,87
Charles,Tillman,CB,Bears,87
Jay,Cutler,QB,Bears,86
Brian,De La Puente,C,Bears,83
Roberto,Garza,C,Bears,80
Willie,Young,RE,Bears,80
Ryan,Mundy,SS,Bears,79
Stephen,Paea,DT,Bears,79
Jeremiah,Ratliff,DT,Bears,79
Kyle,Long,RG,Bears,78
D.J.,Williams,MLB,Bears,78
Jermon,Bushrod,LT,Bears,77
Israel,Idonije,RE,Bears,77
Josh,Morgan,WR,Bears,76
Dante,Rosario,TE,Bears,76
Kyle,Fuller,CB,Bears,75
Chris,Conte,FS,Bears,74
Kelvin,Hayden,CB,Bears,74
M.D.,Jennings,SS,Bears,74
Jordan,Mills,RT,Bears,74
Craig,Steltz,SS,Bears,73
Eric,Weems,WR,Bears,73
Armanti,Edwards,WR,Bears,72
Tony,Fiammetta,FB,Bears,72
Jordan,Senn,ROLB,Bears,72
Ka'Deem,Carey,HB,Bears,71
Austen,Lane,LE,Bears,71
Matthew,Mulligan,TE,Bears,71
Micheal,Spurlock,WR,Bears,71
Jon,Bostic,MLB,Bears,70
Eben,Britton,LT,Bears,70
Shaun,Draughn,HB,Bears,70
Ego,Ferguson,DT,Bears,69
Isaiah,Frey,CB,Bears,69
Khaseem,Greene,LOLB,Bears,69
Will,Sutton,DT,Bears,69
Cornelius,Washington,LE,Bears,69
Nate,Collins,DT,Bears,68
Marquess,Wilson,WR,Bears,68
Jimmy,Clausen,QB,Bears,67
Shea,McClellin,LOLB,Bears,67
Danny,McCray,FS,Bears,67
C.J.,Wilson,CB,Bears,67
David,Fales,QB,Bears,66
Charles,Leno Jr.,RG,Bears,66
Sherrick,McManis,CB,Bears,66
Jordan,Palmer,QB,Bears,66
Brock,Vereen,FS,Bears,66
David,Bass,RE,Bears,65
Cody,Booth,RT,Bears,65
James,Brown,LG,Bears,65
Michael,Ford,HB,Bears,65
Fendi,Onobun,TE,Bears,65
Jerrod,Johnson,QB,Bears,64
Terrence,Toliver,WR,Bears,63
Sean,Cattouse,SS,Bears,62
Taylor,Boggs,C,Bears,61
Josh,Bellamy,WR,Bears,60
Jerry,Franklin,MLB,Bears,58
Joe,Long,LT,Bears,57
Christian,Jones,MLB,Bears,56
Brandon,Hartson,TE,Bears,54
Pat,O'Donnell,P,Bears,54
Geno,Atkins,DT,Bengals,96
A.J.,Green,WR,Bengals,95
Carlos,Dunlap,LE,Bengals,90
Vontaze,Burfict,ROLB,Bengals,88
Leon,Hall,CB,Bengals,88
Andre,Smith,RT,Bengals,88
Andrew,Whitworth,LT,Bengals,87
Andy,Dalton,QB,Bengals,85
Reggie,Nelson,FS,Bengals,85
Giovani,Bernard,HB,Bengals,84
Jermaine,Gresham,TE,Bengals,83
Terence,Newman,CB,Bengals,83
Kevin,Zeitler,RG,Bengals,83
Tyler,Eifert,TE,Bengals,82
Adam,Jones,CB,Bengals,81
Marvin,Jones,WR,Bengals,81
Kevin,Huber,P,Bengals,80
Danieal,Manning,SS,Bengals,80
Clint,Boling,LG,Bengals,79
Orson,Charles,FB,Bengals,79
Mike,Pollak,LG,Bengals,79
Darqueze,Dennard,CB,Bengals,78
BenJarvus,Green-Ellis,HB,Bengals,78
George,Iloka,SS,Bengals,77
Jason,Campbell,QB,Bengals,76
Robert,Geathers,RE,Bengals,76
Rey,Maualuga,MLB,Bengals,76
Domata,Peko,DT,Bengals,76
Trevor,Robinson,C,Bengals,76
Alex,Smith,TE,Bengals,76
Mike,Nugent,K,Bengals,75
Dre,Kirkpatrick,CB,Bengals,74
Devon,Still,DT,Bengals,74
Wallace,Gilberry,RE,Bengals,73
Jeremy,Hill,HB,Bengals,73
Taylor,Mays,SS,Bengals,73
Vincent,Rey,MLB,Bengals,73
Mohamed,Sanu,WR,Bengals,73
A.J.,McCarron,QB,Bengals,72
Shawn,Williams,FS,Bengals,72
Cedric,Peerman,HB,Bengals,70
Sean,Porter,ROLB,Bengals,70
Dane,Sanzenbacher,WR,Bengals,70
Brandon,Tate,WR,Bengals,70
Jayson,DiManche,LOLB,Bengals,69
Tanner,Hawkinson,RT,Bengals,69
Margus,Hunt,LE,Bengals,69
Rex,Burkhead,HB,Bengals,68
Will,Clarke,RE,Bengals,68
T.J.,Johnson,RG,Bengals,68
Emmanuel,Lamur,ROLB,Bengals,68
Chris,Lewis-Harris,CB,Bengals,68
Sam,Montgomery,LE,Bengals,68
Marshall,Newhouse,LT,Bengals,68
Brandon,Thompson,DT,Bengals,68
Ryan,Whalen,WR,Bengals,68
Christo,Bilukidi,DT,Bengals,67
Cobi,Hamilton,WR,Bengals,67
R.J.,Stanford,CB,Bengals,67
Russell,Bodine,C,Bengals,66
Kevin,Brock,TE,Bengals,65
Matt,Scott,QB,Bengals,65
James,Wilder Jr.,HB,Bengals,65
Lavelle,Westbrooks,CB,Bengals,64
Clark,Harris,TE,Bengals,63
Zach,Minter,DT,Bengals,63
Onterio,McCalebb,CB,Bengals,62
Dontay,Moch,ROLB,Bengals,62
Marquis,Flowers,LOLB,Bengals,61
Victor,Hampton,CB,Bengals,60
J.K.,Schaffer,MLB,Bengals,59
James,Wright,WR,Bengals,58
Nikita,Whitlock,FB,Bengals,56
Joe,Thomas,LT,Browns,98
Joe,Haden,CB,Browns,95
Josh,Gordon,WR,Browns,93
Alex,Mack,C,Browns,92
Donte,Whitner,SS,Browns,89
Jordan,Cameron,TE,Browns,88
Karlos,Dansby,MLB,Browns,88
Paul,Kruger,LOLB,Browns,85
Jabaal,Sheard,ROLB,Browns,83
Ben,Tate,HB,Browns,83
Phil,Taylor,DT,Browns,83
Ahtyba,Rubin,LE,Browns,82
Desmond,Bryant,RE,Browns,81
Chris,Ogbonnaya,FB,Browns,81
Billy,Cundiff,K,Browns,79
John,Greco,LG,Browns,79
Brian,Hoyer,QB,Browns,79
Billy,Winn,LE,Browns,79
Mitchell,Schwartz,RT,Browns,78
Miles,Austin,WR,Browns,77
Nate,Burleson,WR,Browns,77
Justin,Gilbert,CB,Browns,77
Tashaun,Gipson,FS,Browns,77
Andrew,Hawkins,WR,Browns,77
John,Hughes,RE,Browns,77
Johnny,Manziel,QB,Browns,77
Joel,Bitonio,RG,Browns,76
Barkevious,Mingo,ROLB,Browns,76
Jason,Pinkston,RG,Browns,76
Gary,Barnidge,TE,Browns,75
Buster,Skrine,CB,Browns,75
Paul,McQuistan,LG,Browns,74
Craig,Robertson,MLB,Browns,73
Johnson,Bademosi,FS,Browns,71
Jim,Dray,TE,Browns,71
Dion,Lewis,HB,Browns,71
Aaron,Berry,CB,Browns,70
Leon,McFadden,CB,Browns,70
Travis,Benjamin,WR,Browns,69
Jordan,Poyer,SS,Browns,69
Tyler,Thigpen,QB,Browns,69
Isaiah,Trufant,CB,Browns,69
Terrance,West,HB,Browns,69
Anthony,Armstrong,WR,Browns,68
Josh,Aubrey,SS,Browns,68
Zac,Diles,MLB,Browns,68
Ishmaa'ily,Kitchen,DT,Browns,68
Edwin,Baker,HB,Browns,67
Armonty,Bryant,LE,Browns,67
Isaiah,Crowell,HB,Browns,67
Pierre,Desir,CB,Browns,67
Eric,Martin,LOLB,Browns,67
Tank,Carder,MLB,Browns,66
Reid,Fragel,LT,Browns,66
Connor,Shaw,QB,Browns,66
Garrett,Gilkey,LG,Browns,65
Charles,Johnson,WR,Browns,65
MarQueis,Gray,TE,Browns,64
Chris,Kirksey,MLB,Browns,64
Conner,Vernon,WR,Browns,64
Brandon,Magee,LOLB,Browns,63
Martin,Wallace,RT,Browns,63
Christian,Yount,C,Browns,63
Spencer,Lanning,P,Browns,62
Chris,Faulk,LT,Browns,61
T.J.,Heath,CB,Browns,60
Keavon,Milton,RT,Browns,60
Darius,Eubanks,MLB,Browns,59
Calvin,Johnson,WR,Lions,99
Ndamukong,Suh,DT,Lions,97
Nick,Fairley,DT,Lions,91
Dominic,Raiola,C,Lions,91
Stephen,Tulloch,MLB,Lions,89
Larry,Warford,RG,Lions,88
Matthew,Stafford,QB,Lions,87
Reggie,Bush,HB,Lions,85
Jed,Collins,FB,Lions,85
Joique,Bell,HB,Lions,84
Glover,Quin,FS,Lions,84
Golden,Tate,WR,Lions,84
DeAndre,Levy,ROLB,Lions,83
Rob,Sims,LG,Lions,83
Ezekiel,Ansah,RE,Lions,82
Montell,Owens,FB,Lions,82
James,Ihedigbo,SS,Lions,81
Sam,Martin,P,Lions,81
Jason,Jones,LE,Lions,80
Rashean,Mathis,CB,Lions,80
Riley,Reiff,LT,Lions,80
Brandon,Pettigrew,TE,Lions,79
Eric,Ebron,TE,Lions,77
Joseph,Fauria,TE,Lions,77
Ashlee,Palmer,LOLB,Lions,77
C.J.,Mosley,DT,Lions,76
LaAdrian,Waddle,RT,Lions,76
Darryl,Tapp,LE,Lions,75
Devin,Taylor,LE,Lions,75
Bill,Bentley,CB,Lions,73
Don,Carey,SS,Lions,73
Cassius,Vaughn,CB,Lions,73
Isa,Abdul-Quddus,SS,Lions,72
Ryan,Broyles,WR,Lions,72
DeJon,Gomes,SS,Lions,72
Mikel,Leshoure,HB,Lions,72
Darius,Slay,CB,Lions,72
Kyle,Van Noy,LOLB,Lions,72
Kris,Durham,WR,Lions,71
Corey,Hilliard,LT,Lions,71
Dan,Orlovsky,QB,Lions,71
Theo,Riddick,HB,Lions,71
Jonte,Green,CB,Lions,70
Nevin,Lawson,CB,Lions,70
Kevin,Ogletree,WR,Lions,70
Michael,Williams,TE,Lions,70
Rodney,Austin,LG,Lions,69
Chris,Greenwood,CB,Lions,69
Cory,Greenwood,ROLB,Lions,69
Travis,Swanson,C,Lions,69
Andre,Fluellen,DT,Lions,68
T.J.,Jones,WR,Lions,67
Kellen,Moore,QB,Lions,67
Jeremy,Ross,WR,Lions,67
Julian,Stanford,MLB,Lions,67
George,Johnson,LE,Lions,66
Jimmy,Saddler-McQueen,DT,Lions,66
Tahir,Whitehead,LOLB,Lions,66
Gabe,Lynn,FS,Lions,65
Caraun,Reid,DT,Lions,65
Giorgio,Tavecchio,K,Lions,65
Nate,Freese,K,Lions,64
Larry,Webster,RE,Lions,64
Pat,Edwards,WR,Lions,63
Corey,Fuller,WR,Lions,63
Travis,Lewis,MLB,Lions,62
Don,Muhlbach,TE,Lions,58
Justin,Tucker,K,Ravens,93
Haloti,Ngata,DT,Ravens,92
Marshal,Yanda,RG,Ravens,92
Elvis,Dumervil,ROLB,Ravens,90
Terrell,Suggs,LOLB,Ravens,90
Lardarius,Webb,CB,Ravens,90
Eugene,Monroe,LT,Ravens,89
Dennis,Pitta,TE,Ravens,87
Steve,Smith,WR,Ravens,87
Joe,Flacco,QB,Ravens,86
Torrey,Smith,WR,Ravens,86
Daryl,Smith,MLB,Ravens,85
Chris,Canty,RE,Ravens,84
Sam,Koch,P,Ravens,84
Owen,Daniels,TE,Ravens,82
Ray,Rice,HB,Ravens,82
Jimmy,Smith,CB,Ravens,82
Kelechi,Osemele,LG,Ravens,81
Jeremy,Zuttah,C,Ravens,81
Matt,Elam,SS,Ravens,79
Jacoby,Jones,WR,Ravens,79
Bernard,Pierce,HB,Ravens,79
Darian,Stewart,SS,Ravens,78
Courtney,Upshaw,ROLB,Ravens,78
Pernell,McPhee,LOLB,Ravens,76
Josh,Bynes,MLB,Ravens,75
C.J.,Mosley,MLB,Ravens,75
Marlon,Brown,WR,Ravens,74
Justin,Forsett,HB,Ravens,74
