Last Name,First Name,Team,Position,Overall,Speed,Acceleration,Strength,Agility,Awareness,Catching,Carrying,Throw Power,Throw Accuracy,Kick Power,Kick Accuracy,Run Block,Pass Block,Tackle,Jumping,Kick Return,Injury,Stamina,Toughness,Trucking,Elusiveness,Ball Carrier Vision,Stiff Arm,Spin Move,Juke Move,Impact Blocking,Run Block Strength,Run Block Footwork,Pass Block Strength,Pass Block Footwork,Power Moves,Finesse Moves,Block Shedding,Pursuit,Play Recognition,Man Coverage,Zone Coverage,Spectacular Catch,Catch In Traffic,Route Running,Hit Power,Press,Release,Throw Accuracy Short,Throw Accuracy Mid,Throw Accuracy Deep,Play Action,Throw on the Run
Thompson,Chris,Redskins,HB,77,91,94,63,91,77,67,84,29,24,22,21,37,43,35,86,75,70,87,58,44,83,86,52,85,94,35,34,45,40,44,10,10,32,40,31,15,19,64,60,60,12,20,54,35,30,20,15,15
Allen,Keenan,Chargers,WR,89,89,92,69,91,90,92,74,35,28,22,20,51,45,34,91,76,71,94,83,71,73,89,73,79,85,65,61,57,54,49,10,10,35,35,26,15,26,89,94,94,15,10,89,30,25,15,15,25
McFadden,Darren,Cowboys,HB,77,89,89,72,82,80,62,84,66,60,25,25,29,51,35,90,76,72,88,74,79,67,86,84,80,82,45,40,40,55,54,10,10,20,45,20,12,15,65,66,75,15,15,66,51,45,20,20,40
Boykin,Brandon,Ravens,CB,71,89,93,52,87,64,62,65,36,36,25,25,45,45,59,90,78,72,92,77,30,85,77,36,76,82,44,45,45,45,45,29,37,35,60,64,80,71,44,35,40,56,65,40,6,6,6,6,6
Galette,Junior,Redskins,LOLB,76,77,84,75,78,76,40,35,20,22,21,14,45,45,78,74,10,73,87,87,10,25,29,26,32,25,73,45,45,45,45,77,84,74,84,76,56,67,15,15,15,82,35,15,6,6,6,6,6
Simon,Deon,Jets,DT,65,68,81,93,49,60,34,43,19,21,11,17,45,45,77,79,10,73,69,79,25,11,10,26,10,10,81,45,45,45,45,72,43,80,74,60,15,20,15,15,15,73,19,17,6,6,6,6,6
Smelter,DeAndre,49ers,WR,65,87,89,70,88,51,79,72,29,25,19,15,63,50,40,85,40,73,85,82,67,77,75,74,74,75,61,60,61,55,52,10,10,50,45,18,12,25,76,82,55,22,10,79,15,10,6,6,10
Kouandjio,Arie,Redskins,RG,63,56,77,84,46,55,20,25,20,20,20,20,80,72,35,74,10,73,76,80,24,10,10,10,10,10,66,89,75,75,65,10,10,20,35,20,12,15,12,10,10,20,10,12,6,6,6,6,6
Easley,Dominique,Rams,RE,78,75,81,83,71,79,32,40,28,40,19,11,45,45,79,75,10,74,85,75,35,15,24,40,35,35,85,45,45,45,45,80,70,80,83,79,15,25,12,10,10,80,10,12,6,6,6,6,6
Ogbuehi,Cedric,Bengals,RT,72,73,75,82,70,76,25,25,30,30,25,25,75,71,25,74,10,74,88,73,15,10,10,10,10,10,83,77,85,84,87,10,10,15,30,20,15,20,12,10,10,12,10,12,6,6,6,6,6
McCray,Lerentee,Jaguars,ROLB,72,81,84,70,83,67,54,35,25,40,22,22,45,45,74,78,10,74,84,87,49,44,52,45,46,40,80,45,45,45,45,77,73,79,84,67,58,65,35,32,15,68,56,30,6,6,6,6,6
Crick,Jared,Broncos,RE,71,74,82,81,64,79,27,55,28,19,17,22,45,45,81,81,10,74,81,95,40,10,22,10,10,10,80,45,45,45,45,76,58,68,74,79,27,42,15,15,15,79,12,15,6,6,6,6,6
Scott,Chris,Panthers,RG,70,51,71,92,52,76,32,30,12,10,11,15,73,75,40,44,10,74,78,75,20,35,10,10,10,10,76,88,63,86,54,30,30,41,35,15,27,31,15,22,15,20,10,15,6,6,6,6,6
Urban,Brent,Ravens,RE,69,77,80,79,70,66,34,49,25,19,17,25,45,45,75,69,10,74,80,79,50,32,45,40,40,45,78,45,45,45,45,78,62,80,81,66,19,31,30,25,10,77,12,15,6,6,6,6,6
Odighizuwa,Owa,Giants,RE,67,85,88,79,82,55,42,55,25,25,20,20,45,45,80,89,10,74,82,74,35,25,25,35,35,30,82,45,45,45,45,76,61,77,69,55,40,49,15,15,15,73,40,15,6,6,6,6,6
Sunseri,Vinnie,49ers,FS,64,87,88,66,79,59,67,65,30,30,25,25,45,45,72,80,60,74,88,88,44,65,72,47,59,63,58,45,45,45,45,44,51,63,81,59,61,70,64,62,24,71,74,30,10,10,10,10,10
Lewis-Moore,Kapron,Bears,LE,61,68,75,85,63,59,29,35,12,22,19,19,45,45,84,62,10,74,70,90,29,20,15,10,10,15,78,45,45,45,45,79,47,78,71,59,20,30,12,10,10,75,10,12,6,6,6,6,6
Fowler,Jalston,Titans,FB,78,77,88,81,73,74,58,79,30,29,15,15,67,75,53,83,50,75,81,69,80,53,75,76,65,68,71,64,57,66,64,32,28,53,62,15,10,15,45,60,50,63,15,61,30,25,15,10,10
Phillips,Jordan,Dolphins,DT,76,67,79,89,65,78,34,43,14,13,17,11,45,45,79,81,10,75,72,73,42,10,15,20,10,10,86,45,45,45,45,81,63,72,77,78,37,45,15,15,15,84,10,15,6,6,6,6,6
Lattimore,Marshon,Saints,CB,76,94,94,71,91,63,66,61,22,19,30,25,45,45,68,91,70,75,93,71,23,77,70,33,73,80,55,45,45,45,45,32,44,56,79,63,84,74,51,54,34,67,83,20,6,6,6,6,6
McCown,Josh,Jets,QB,73,76,74,57,71,81,60,50,84,82,19,25,14,14,20,50,10,75,90,92,25,27,63,34,64,64,14,14,14,14,14,10,10,20,35,29,21,21,40,52,58,12,10,40,84,78,77,74,76
Mauga,Josh,Chiefs,MLB,73,81,88,68,79,76,60,54,19,22,24,21,45,45,82,70,10,75,88,87,44,48,42,35,10,30,79,45,45,45,45,71,65,76,78,76,65,76,20,15,15,80,45,25,6,6,6,6,6
