fms_college_id,college,year,football_spending,coaches_salaries,ticket_sales
4,Alabama A & M University,2005,1781536.0,514094.0,367557.0
4,Alabama A & M University,2006,2020751.0,743039.0,553227.0
4,Alabama A & M University,2007,2037326.0,866419.0,594116.0
4,Alabama A & M University,2008,2424904.0,867828.0,79219.0
4,Alabama A & M University,2009,2341015.0,870925.0,587526.0
4,Alabama A & M University,2010,2298880.0,765946.0,683465.0
4,Alabama A & M University,2011,2215273.0,588442.0,325851.0
4,Alabama A & M University,2012,2520335.0,671128.0,489891.0
4,Alabama A & M University,2013,2327408.0,699654.0,407150.0
4,Alabama A & M University,2014,2691835.0,864379.0,380077.0
4,Alabama A & M University,2015,2890636.0,841006.0,387433.0
4,Alabama A & M University,2016,3003670.0,873220.0,270029.0
4,Alabama A & M University,2017,2896772.0,863761.0,285239.0
4,Alabama A & M University,2018,2808121.0,863761.0,289735.0
5,Alabama State,2005,2219855.0,728960.0,1273487.0
5,Alabama State,2006,1921307.0,642793.0,966861.0
5,Alabama State,2007,2088096.0,668269.0,1163025.0
5,Alabama State,2008,2461416.0,690381.0,904133.0
5,Alabama State,2009,2906857.0,692486.0,769722.0
5,Alabama State,2010,2733523.0,740230.0,837329.0
5,Alabama State,2011,2915399.0,910860.0,778389.0
5,Alabama State,2012,2943543.0,918190.0,744083.0
5,Alabama State,2013,3413563.0,1062277.0,821453.0
5,Alabama State,2014,3111510.0,867096.0,1421098.0
5,Alabama State,2015,3974696.0,1191206.0,1022390.0
5,Alabama State,2016,3539427.0,1201507.0,1052831.0
5,Alabama State,2017,3994582.0,1227992.0,1551690.0
5,Alabama State,2018,3717312.0,1453134.0,1350292.0
6,Alcorn State,2005,,,
6,Alcorn State,2006,1485189.0,180358.0,317540.0
6,Alcorn State,2007,1169693.0,259710.0,720080.0
6,Alcorn State,2008,922145.0,98018.0,149726.0
6,Alcorn State,2009,1686124.0,562645.0,474396.0
6,Alcorn State,2010,1827629.0,655719.0,232085.0
6,Alcorn State,2011,1504132.0,593218.0,303730.0
6,Alcorn State,2012,1763622.0,565537.0,95335.0
6,Alcorn State,2013,2143388.0,611041.0,104531.0
6,Alcorn State,2014,2309196.0,517047.0,202917.0
6,Alcorn State,2015,2297292.0,511371.0,837323.0
6,Alcorn State,2016,2451142.0,655000.0,571416.0
6,Alcorn State,2017,2398016.0,655000.0,724455.0
6,Alcorn State,2018,2224163.0,705000.0,686487.0
8,Appalachian State,2005,2362471.0,648891.0,563211.0
8,Appalachian State,2006,2563549.0,695032.0,774725.0
8,Appalachian State,2007,2546550.0,814289.0,1152405.0
8,Appalachian State,2008,4120545.0,1063402.0,1401475.0
8,Appalachian State,2009,3999355.0,1097417.0,2757959.0
8,Appalachian State,2010,4262951.0,1074754.0,3002998.0
8,Appalachian State,2011,4263502.0,1050432.0,2497400.0
8,Appalachian State,2012,4317559.0,1096288.0,2482559.0
8,Appalachian State,2013,5180975.0,1544791.0,2405287.0
8,Appalachian State,2014,5091053.0,1297198.0,1978597.0
8,Appalachian State,2015,6018863.0,1639288.0,1624579.0
8,Appalachian State,2016,7466848.0,1917795.0,1573482.0
8,Appalachian State,2017,8505084.0,2423144.0,2488012.0
8,Appalachian State,2018,9257326.0,2723107.0,3148113.0
10,Arizona State,2005,13008302.0,2984352.0,8823300.0
10,Arizona State,2006,17419324.0,3239950.0,12208612.0
10,Arizona State,2007,21648730.0,3853875.0,10199559.0
10,Arizona State,2008,20640368.0,4348351.0,14872581.0
10,Arizona State,2009,19329524.0,4057487.0,15011181.0
10,Arizona State,2010,19905288.0,4143950.0,13251150.0
10,Arizona State,2011,17721064.0,3848751.0,8646534.0
10,Arizona State,2012,25654646.0,4737538.0,9469947.0
10,Arizona State,2013,24295676.0,6094579.0,9880218.0
10,Arizona State,2014,28254928.0,7693126.0,13063169.0
10,Arizona State,2015,27917778.0,8433442.0,11181356.0
10,Arizona State,2016,27084028.0,7513685.0,11899256.0
10,Arizona State,2017,31724820.0,8332187.0,10033481.0
10,Arizona State,2018,52816904.0,8586651.0,12401920.0
12,Arkansas State,2005,3642170.0,980002.0,986984.0
12,Arkansas State,2006,4432020.0,1324205.0,1742981.0
12,Arkansas State,2007,4277897.0,1221960.0,1091673.0
12,Arkansas State,2008,4045671.0,,1067490.0
12,Arkansas State,2009,4229112.0,1001166.0,1113165.0
12,Arkansas State,2010,4604693.0,1222842.0,979563.0
12,Arkansas State,2011,5106285.0,1404310.0,893567.0
12,Arkansas State,2012,5539919.0,1485397.0,1355786.0
12,Arkansas State,2013,6510447.0,1656668.0,1440735.0
12,Arkansas State,2014,7694871.0,1861837.0,1475359.0
12,Arkansas State,2015,15262403.0,2123403.0,1330515.0
12,Arkansas State,2016,13020362.0,2295196.0,1666852.0
12,Arkansas State,2017,18996248.0,2437212.0,1507387.0
12,Arkansas State,2018,20884372.0,2556699.0,1374396.0
15,Auburn,2005,24790160.0,6075249.0,19470514.0
15,Auburn,2006,21665610.0,6132251.0,23929944.0
15,Auburn,2007,26569318.0,6305765.0,25229864.0
15,Auburn,2008,25837320.0,6279836.0,24515028.0
15,Auburn,2009,32221272.0,6065603.0,26305820.0
15,Auburn,2010,30721592.0,7183347.0,27221920.0
15,Auburn,2011,41686836.0,12123656.0,30917794.0
15,Auburn,2012,34846490.0,9680750.0,30567492.0
15,Auburn,2013,37405036.0,8896841.0,29356902.0
15,Auburn,2014,50325130.0,10615224.0,30245652.0
15,Auburn,2015,40076652.0,11356962.0,30562080.0
15,Auburn,2016,41896340.0,11843789.0,32165386.0
15,Auburn,2017,42868770.0,12216821.0,32991096.0
15,Auburn,2018,44380720.0,14947760.0,33213940.0
16,Austin Peay State University,2005,471975.0,292863.0,221244.0
16,Austin Peay State University,2006,552469.0,269029.0,216267.0
16,Austin Peay State University,2007,923068.0,348627.0,204533.0
16,Austin Peay State University,2008,1313981.0,439050.0,469578.0
16,Austin Peay State University,2009,1817188.0,499856.0,164272.0
16,Austin Peay State University,2010,1734309.0,478270.0,195191.0
16,Austin Peay State University,2011,1899041.0,483926.0,190406.0
16,Austin Peay State University,2012,1989880.0,540425.0,208961.0
16,Austin Peay State University,2013,2120771.0,558666.0,186981.0
16,Austin Peay State University,2014,2650465.0,581918.0,157935.0
