fms_college_id,fms_city_id,college,conference,city_state,city,state,county,latitude,longitude
180,2504.0,Ole Miss,sec,"Oxford, MS",Oxford, MS, Oakland County,34.366412700000005,-89.5187664
48,627.0,Clemson,acc,"Clemson, SC",Clemson, SC, Pickens County,34.685074900000004,-82.83641109999999
316,1968.0,Wisconsin,big_10,"Madison, WI",Madison, WI, Dane County,43.074760999999995,-89.3837613
106,1993.0,Kansas State,big_12,"Manhattan, KS",Manhattan, KS, Riley County,39.1836082,-96.5716694
25,323.0,Boise State,mountain_west,"Boise, ID",Boise, ID, Ada County,43.6166163,-116.20088600000001
218,3148.0,Stanford,pac_12,"Stanford, CA",Stanford, CA, Santa Clara County,37.427467,-122.17024450000001
173,2417.0,Notre Dame,acc,"Notre Dame, IN",Notre Dame, IN, Saint Joseph County,41.70456775,-86.23822026017265
100,1527.0,Iowa,big_10,"Iowa City, IA",Iowa City, IA, Johnson County,41.661256099999996,-91.5299106
184,3152.0,Penn State,big_10,"State College, PA",State College, PA, Centre County,40.794450399999995,-77.86163859999999
302,2721.0,Washington State,pac_12,"Pullman, WA",Pullman, WA, Whitman County,46.7304268,-117.173895
318,1773.0,Wyoming,mountain_west,"Laramie, WY",Laramie, WY, Gloucester County,41.311367,-105.591101
254,74.0,UMass,,"Amherst, MA",Amherst, MA, Hampshire County,42.3685658,-72.505714
28,75.0,Buffalo,,"Amherst, NY",Amherst, NY, Erie County,42.9783924,-78.7997616
238,1933.0,Texas Tech,big_12,"Lubbock, TX",Lubbock, TX, Lubbock County,33.563520600000004,-101.879336
11,1017.0,Arkansas,sec,"Fayetteville, AR",Fayetteville, AR, Washington County,36.0625843,-94.1574328
72,319.0,Florida Atlantic,,"Boca Raton, FL",Boca Raton, FL, Palm Beach County,26.3586885,-80.08309840000001
224,1092.0,TCU,big_12,"Fort Worth, TX",Fort Worth, TX, Tarrant County,32.753177,-97.3327459
301,943.0,Washington,pac_12,"Ellensburg, WA",Ellensburg, WA, Kittitas County,46.9970635,-120.5451223
177,2375.0,Oklahoma,big_12,"Norman, OK",Norman, OK,,35.2225717,-97.4394816
109,1835.0,Kentucky,sec,"Lexington, KY",Lexington, KY, Fayette County,38.0464066,-84.4970393
54,1068.0,Colorado State,mountain_west,"Fort Collins, CO",Fort Collins, CO, Larimer County,40.5508527,-105.0668085
247,3294.0,Troy,,"Troy, AL",Troy, AL, San Francisco City and County,31.808767800000002,-85.969951
132,2160.0,Minnesota,big_10,"Minneapolis, MN",Minneapolis, MN, Hennepin County,44.9772995,-93.2654692
193,2631.0,Rutgers,big_10,"Piscataway, NJ",Piscataway, NJ, Middlesex County,40.5462553,-74.46604079999999
95,310.0,Indiana,big_10,"Bloomington, IN",Bloomington, IN, Monroe County,39.1670396,-86.5342881
75,3226.0,Florida State,acc,"Tallahassee, FL",Tallahassee, FL, Leon County,30.4380832,-84.2809332
203,676.0,South Carolina,sec,"Columbia, SC",Columbia, SC, Richland County,34.000749299999995,-81.03433129999999
123,661.0,Maryland,acc,"College Park, MD",College Park, MD, Prince George's County,38.980666,-76.9369189
253,1911.0,UCLA,pac_12,"Los Angeles, CA",Los Angeles, CA, Los Angeles County,34.0536909,-118.2427666
256,1911.0,USC,pac_12,"Los Angeles, CA",Los Angeles, CA, Los Angeles County,34.0536909,-118.2427666
70,1136.0,Florida,sec,"Gainesville, FL",Gainesville, FL, Alachua County,29.6519684,-82.3249846
230,162.0,Texas,sec,"Austin, TX",Austin, TX, Travis County,30.2711286,-97.7436995
290,2912.0,Utah,mountain_west,"Salt Lake City, UT",Salt Lake City, UT, Salt Lake County,40.759619799999996,-111.88679750000001
128,94.0,Michigan,big_10,"Ann Arbor, MI",Ann Arbor, MI, Washtenaw County,42.268156899999994,-83.7312291
26,581.0,Boston College,acc,"Chestnut Hill, MA",Chestnut Hill, MA,,42.3306529,-71.1661647
223,3221.0,Syracuse,acc,"Syracuse, NY",Syracuse, NY, Onondaga County,43.0481221,-76.1474244
3,3310.0,Alabama,sec,"Tuscaloosa, AL",Tuscaloosa, AL, Jefferson County,33.2095614,-87.5675258
169,985.0,Northwestern,big_10,"Evanston, IL",Evanston, IL, Cook County,42.0447388,-87.6930459
