fms_id,espn_id,full_name,first_name,last_name,weight,height_inches,college,draft_year,position,position_group,section
2,4047646.0,A.J. Brown,A.J.,Brown,226,72,Ole Miss,2019,WR,WR,O
102,3728248.0,Albert Huggins,Albert,Huggins,305,75,Clemson,2019,DL,DL,D
108,3917668.0,Alec Ingold,Alec,Ingold,242,73,Wisconsin,2019,FB,RB,O
113,3886636.0,Alex Barnes,Alex,Barnes,226,72,Kansas State,2019,RB,RB,O
136,4048244.0,Alexander Mattison,Alexander,Mattison,221,71,Boise State,2019,RB,RB,O
143,3117249.0,Alijah Holder,Alijah,Holder,191,73,Stanford,2019,CB,DB,D
144,3932433.0,Alize Mack,Alize,Mack,249,76,Notre Dame,2019,TE,TE,O
163,4036134.0,Amani Hooker,Amani,Hooker,210,71,Iowa,2019,S,DB,D
164,3116175.0,Amani Oruwariye,Amani,Oruwariye,205,74,Penn State,2019,CB,DB,D
179,3127264.0,Andre Dillard,Andre,Dillard,315,77,Washington State,2019,OT,OL,O
210,,Andrew Van ginkel,Andrew,Van,241,75,Wisconsin,2019,OLB,LB,D
213,3918331.0,Andrew Wingard,Andrew,Wingard,209,72,Wyoming,2019,S,DB,D
216,3914328.0,Andy Isabella,Andy,Isabella,188,69,UMass,2019,WR,WR,O
248,4049301.0,Anthony Johnson,Anthony,Johnson,209,74,Buffalo,2019,WR,WR,O
256,3894856.0,Anthony Nelson,Anthony,Nelson,271,79,Iowa,2019,DL,DL,D
256,3145005.0,Anthony Nelson,Anthony,Nelson,271,79,Iowa,2019,DL,DL,D
275,4043161.0,Antoine Wesley,Antoine,Wesley,206,76,Texas Tech,2019,WR,WR,O
311,3128685.0,Armon Watts,Armon,Watts,300,77,Arkansas,2019,DL,DL,D
337,3728253.0,Austin Bryant,Austin,Bryant,271,76,Clemson,2019,DE,DL,D
353,3919117.0,Azeez Al-Shaair,Azeez,Al-Shaair,234,73,Florida Atlantic,2019,OLB,LB,D
381,3121537.0,Beau Benzschawel,Beau,Benzschawel,309,78,Wisconsin,2019,OT,OL,O
385,3124970.0,Ben Banogu,Ben,Banogu,250,75,TCU,2019,DE,DL,D
388,3886816.0,Ben Burr-Kirven,Ben,Burr-Kirven,230,72,Washington,2019,OLB,LB,D
401,4037650.0,Ben Powers,Ben,Powers,307,76,Oklahoma,2019,OT,OL,O
414,,Benny Snell,Benny,Snell,224,70,Kentucky,2019,RB,RB,O
434,3917067.0,Bisi Johnson,Bisi,Johnson,204,72,Colorado State,2019,WR,WR,O
436,3128652.0,Blace Brown,Blace,Brown,194,72,Troy,2019,CB,DB,D
443,3728281.0,Blake Cashman,Blake,Cashman,237,73,Minnesota,2019,OLB,LB,D
446,3930021.0,Blessuan Austin,Blessuan,Austin,198,73,Rutgers,2019,CB,DB,D
454,3706968.0,Bobby Evans,Bobby,Evans,312,76,Oklahoma,2019,OT,OL,O
461,3117253.0,Bobby Okereke,Bobby,Okereke,239,73,Stanford,2019,OLB,LB,D
527,3929795.0,Brandon Knight,Brandon,Knight,314,76,Indiana,2019,OT,OL,O
584,3722362.0,Brett Rypien,Brett,Rypien,210,74,Boise State,2019,QB,QB,O
591,4035631.0,Brian Burns,Brian,Burns,249,77,Florida State,2019,DE,DL,D
645,3931398.0,Bryce Love,Bryce,Love,200,69,Stanford,2019,RB,RB,O
649,3126478.0,Bryson Allen-Williams,Bryson,Allen-Williams,236,73,South Carolina,2019,OLB,LB,D
656,,Byron Cowart,Byron,Cowart,298,75,Maryland,2019,DL,DL,D
662,4038999.0,Byron Murphy,Byron,Murphy,190,71,Washington,2019,CB,DB,D
667,3915230.0,C.J. Conrad,C.J.,Conrad,249,76,Kentucky,2019,TE,TE,O
685,4035838.0,Caleb Wilson,Caleb,Wilson,240,76,UCLA,2019,TE,TE,O
685,3932936.0,Caleb Wilson,Caleb,Wilson,240,76,UCLA,2019,TE,TE,O
707,3701669.0,Cameron Smith,Cameron,Smith,238,74,USC,2019,OLB,LB,D
715,3918310.0,Carl Granderson,Carl,Granderson,254,77,Wyoming,2019,DE,DL,D
748,3915105.0,Cece Jefferson,Cece,Jefferson,266,73,Florida,2019,DE,DL,D
801,3929865.0,Charles Omenihu,Charles,Omenihu,280,77,Texas,2019,DL,DL,D
818,531024.0,Chase Hansen,Chase,Hansen,222,75,Utah,2019,OLB,LB,D
828,3115974.0,Chase Winovich,Chase,Winovich,256,75,Michigan,2019,DE,DL,D
830,4034953.0,Chauncey Gardner-Johnson,Chauncey,Gardner-Johnson,210,71,Florida,2019,S,DB,D
901,4239950.0,Chris Lindstrom,Chris,Lindstrom,308,76,Boston College,2019,OT,OL,O
901,3672833.0,Chris Lindstrom,Chris,Lindstrom,308,76,Boston College,2019,OT,OL,O
920,3124015.0,Chris Slayton,Chris,Slayton,307,76,Syracuse,2019,DL,DL,D
943,,Christian Miller,Christian,Miller,247,75,Alabama,2019,DE,DL,D
948,3728266.0,Christian Wilkins,Christian,Wilkins,315,75,Clemson,2019,DL,DL,D
964,3116144.0,Clayton Thorson,Clayton,Thorson,222,76,Northwestern,2019,QB,QB,O
965,3728258.0,Clelin Ferrell,Clelin,Ferrell,264,76,Clemson,2019,DE,DL,D
985,3926229.0,Cody Barton,Cody,Barton,237,74,Utah,2019,OLB,LB,D
997,3126115.0,Cody Thompson,Cody,Thompson,205,73,Toledo,2019,WR,WR,O
1020,4033748.0,Connor McGovern,Connor,McGovern,308,77,Penn State,2019,OT,OL,O
1144,4047650.0,D.K. Metcalf,D.K.,Metcalf,228,75,Ole Miss,2019,WR,WR,O
1109,,D'Andre Walker,D'Andre,Walker,251,74,Georgia,2019,DE,DL,D
1113,3121542.0,D'Cota Dixon,D'Cota,Dixon,204,70,Wisconsin,2019,S,DB,D
1161,3139453.0,Dakota Allen,Dakota,Allen,232,73,Texas Tech,2019,OLB,LB,D
1166,3125082.0,Dalton Risner,Dalton,Risner,312,77,Kansas State,2019,OT,OL,O
1173,3930064.0,Damarkus Lodge,Damarkus,Lodge,202,74,Ole Miss,2019,WR,WR,O
1182,4241457.0,Damien Harris,Damien,Harris,216,70,Alabama,2019,RB,RB,O
1182,3925347.0,Damien Harris,Damien,Harris,216,70,Alabama,2019,RB,RB,O
1194,3929801.0,Dan Godsil,Dan,Godsil,241,76,Indiana,2019,LS,LS,ST
1217,,Daniel Helm,Daniel,Helm,249,76,Duke,2019,TE,TE,O
1218,3917792.0,Daniel Jones,Daniel,Jones,221,77,Duke,2019,QB,QB,O
1224,3133368.0,Daniel Wise,Daniel,Wise,281,75,Kansas,2019,DL,DL,D
1259,3916945.0,Darius Slayton,Darius,Slayton,190,73,Auburn,2019,WR,WR,O
