espn_id,full_name,first_name,last_name,position,position_group,section,college,home_city,home_state,home_country
4596298,Leroy Deshazor,Leroy,Deshazor,WR,WR,O,Arkansas State,Lakeland,FL        ,USA
4594160,Brice Honaker,Brice,Honaker,PK,PK,ST,Air Force,Howe,TX        ,USA
4594086,Paul Hammonds,Paul,Hammonds,LB,LB,D,UAB,Northport,AL        ,USA
4593938,Kaleb Prejean,Kaleb,Prejean,TE,TE,O,Temple,Bristow,VA        ,USA
4591752,Dante Johnson,Dante,Johnson,WR,WR,O,Miami,Covington,GA        ,USA
4591751,Connor Byrne,Connor,Byrne,WR,WR,O,Miami,Fairfield,CT        ,USA
4591750,Isaiah Cashwell,Isaiah,Cashwell,RB,RB,O,Miami,Mineola,NY        ,USA
4590908,Tim Kidd-Glass,Tim,Kidd-Glass,S,DB,D,Liberty,,,
4590890,Joe Stevens,Joe,Stevens,CB,DB,D,Michigan State,Northville,MI        ,USA
4589052,Desmond Noel,Desmond,Noel,OL,OL,O,Florida Atlantic,Cincinnati,OH        ,USA
4588642,Jack Drake,Jack,Drake,CB,DB,D,USC,Danville,CA        ,USA
4588640,Justin Newell,Justin,Newell,CB,DB,D,USC,West Orange,NJ        ,USA
4587415,Doug Bates,Doug,Bates,TE,TE,O,Toledo,,,
4587403,Anthony Harrison,Anthony,Harrison,DL,DL,D,Toledo,,,
4584584,Jamykal Neal,Jamykal,Neal,DL,DL,D,Houston,,,
4584519,Brayton Hundley,Brayton,Hundley,WR,WR,O,Florida,Port Orange,FL        ,USA
4584517,Michael Hart,Michael,Hart,WR,WR,O,Florida,Babylon,NY        ,USA
4584402,Jalen Boes,Jalen,Boes,WR,WR,O,Central Michigan,Union City,MI        ,USA
4584278,Brandon Pierce,Brandon,Pierce,WR,WR,O,Arizona State,Mission Hills,CA        ,USA
4578344,Tyler Barkeley,Tyler,Barkeley,WR,WR,O,Central Michigan,Lake Orion,MI        ,USA
4578343,Moe Kosso,Moe,Kosso,DB,DB,D,Central Michigan,Plainfield,NJ        ,USA
4578336,Isaiah Dunnuck,Isaiah,Dunnuck,TE,TE,O,Ball State,Fishers,IN        ,USA
4578333,Dean Tate,Dean,Tate,WR,WR,O,Ball State,Indianapolis,IN        ,USA
4578332,John Mitchell,John,Mitchell,DL,DL,D,Akron,Crete,IL        ,USA
4578331,Gabreil Larsosa,Gabreil,Larsosa,DL,DL,D,Akron,Lorain,OH        ,USA
4578275,Sampson Dorsonne,Sampson,Dorsonne,OL,OL,O,Florida Atlantic,Boynton Beach,FL        ,USA
4578274,Jonathan Francois,Jonathan,Francois,LB,LB,D,Florida Atlantic,Hialeah,FL        ,USA
4578145,Mikeal Bradford,Mikeal,Bradford,DB,DB,D,Nevada,Compton,CA        ,USA
4578142,Julian Diaz,Julian,Diaz,PK,PK,ST,Nevada,Lincoln,CA        ,USA
4577781,Tony Collier,Tony,Collier,CB,DB,D,New Mexico,Little Rock,AR        ,USA
4577779,Blake Wells,Blake,Wells,WR,WR,O,New Mexico,Clovis,CA        ,USA
4577778,Kyle Peterson,Kyle,Peterson,WR,WR,O,Baylor,Thousand Oaks,CA        ,USA
4577777,Tony Williams,Tony,Williams,LB,LB,D,Old Dominion,Lake Forest,CA        ,USA
4577764,Kerry Raymond,Kerry,Raymond,RB,RB,O,UMass,Brockton,MA        ,USA
4577755,Jeremy Martin,Jeremy,Martin,PK,PK,ST,UMass,Charlton,MA        ,USA
4577753,Liam Fitzpatrick,Liam,Fitzpatrick,WR,WR,O,UMass,Winchester,MA        ,USA
4577751,Nathan Drislane,Nathan,Drislane,LB,LB,D,UMass,Lynnfield,MA        ,USA
4577749,Andre Domond,Andre,Domond,S,DB,D,UMass,Cambridge,MA        ,USA
4577744,Zack Kadri,Zack,Kadri,OL,OL,O,Eastern Michigan,Lynnwood,WA        ,USA
4577743,Tariq Speights,Tariq,Speights,LB,LB,D,Eastern Michigan,Valencia,CA        ,USA
4577735,Denzel Daxon,Denzel,Daxon,DL,DL,D,Ohio,Nassau,NP        ,Bahamas
4577733,Blake Perdue,Blake,Perdue,WR,WR,O,Baylor,Amarillo,TX        ,USA
4577726,Jawaun Johnson,Jawaun,Johnson,WR,WR,O,Louisiana Tech,Fullerton,CA        ,USA
4577582,Raekwon Webb,Raekwon,Webb,RB,RB,O,Florida State,Panama City,FL        ,USA
4577533,Camden Coleman,Camden,Coleman,DB,DB,D,Vanderbilt,Champaign,IL        ,USA
4577531,Morris Joseph,Morris,Joseph,DL,DL,D,Memphis,Orange,TX        ,USA
4577516,Cavon Croom,Cavon,Croom,WR,WR,O,Bowling Green,Sandusky,OH        ,USA
4577074,Nick Nazarian,Nick,Nazarian,WR,WR,O,Colorado,Novato,CA        ,USA
4577072,Demond Stewart,Demond,Stewart,DL,DL,D,Charlotte,Laplace,LA        ,USA
4577065,Sefo Mailangi,Sefo,Mailangi,TE,TE,O,San Diego State,Huntington Beach,CA        ,USA
4577064,Jalen Booth,Jalen,Booth,OL,OL,O,San Diego State,San Diego,CA        ,USA
4576845,Isaiah Wooden,Isaiah,Wooden,WR,WR,O,Kent State,San Diego,CA        ,USA
