fms_city_id,city_state,county,state,poverty_pct,med_income
1743.0,"Lakeland, FL", Polk County, FL,9.6,"$59,990"
1467.0,"Howe, TX", Grayson County, TX,18.4,"$37,550"
2407.0,"Northport, AL", Tuscaloosa County, AL,16.8,"$52,557"
379.0,"Bristow, VA", Prince William County, VA,6.4,"$106,200"
731.0,"Covington, GA", Newton County, GA,22.3,"$43,367"
999.0,"Fairfield, CT",,,,"$100,075"
2157.0,"Mineola, NY", Nassau County, NY,5.8,"$115,301"
2410.0,"Northville, MI", Wayne County, MI,20.9,"$38,704"
786.0,"Danville, CA", Contra Costa County, CA,7.8,"$101,463"
3496.0,"West Orange, NJ", Essex County, NJ,13.7,"$50,785"
2678.0,"Port Orange, FL", Volusia County, FL,13.2,"$50,285"
175.0,"Babylon, NY", Suffolk County, NY,7.3,"$100,075"
3322.0,"Union City, MI", Branch County, MI,14.5,"$50,477"
2166.0,"Mission Hills, CA", Santa Barbara County, CA,12.6,"$75,646"
1732.0,"Lake Orion, MI", Oakland County, MI,8.2,"$80,319"
2642.0,"Plainfield, NJ", Union County, NJ,19.8,"$40,322"
1030.0,"Fishers, IN", Hamilton County, IN,14.7,"$49,210"
1513.0,"Indianapolis, IN",,,,"$100,075"
744.0,"Crete, IL", Will County, IL,6.4,"$86,108"
1903.0,"Lorain, OH",Lorain County, OH,14.2,"$59,265"
352.0,"Boynton Beach, FL", Palm Beach County, FL,12.2,"$61,735"
1393.0,"Hialeah, FL", Miami-Dade County, FL,16.0,"$52,043"
689.0,"Compton, CA", Los Angeles County, CA,14.2,"$67,986"
1849.0,"Lincoln, CA", Placer County, CA,7.1,"$89,175"
1867.0,"Little Rock, AR",,,,"$100,075"
648.0,"Clovis, CA", Fresno County, CA,21.3,"$52,318"
3267.0,"Thousand Oaks, CA", Ventura County, CA,9.1,"$84,170"
1728.0,"Lake Forest, CA", Orange County, CA,9.4,"$63,681"
380.0,"Brockton, MA", Plymouth County, MA,6.2,"$89,678"
561.0,"Charlton, MA", Worcester County, MA,9.0,"$71,767"
3573.0,"Winchester, MA", Middlesex County, MA,12.7,"$54,871"
1950.0,"Lynnfield, MA", Essex County, MA,13.7,"$50,785"
458.0,"Cambridge, MA", Middlesex County, MA,12.7,"$54,871"
1951.0,"Lynnwood, WA", Snohomish County, WA,7.5,"$87,096"
3341.0,"Valencia, CA", Los Angeles County, CA,14.2,"$67,986"
2290.0,"Nassau, NP", Lac qui Parle County, NP,9.5,"$52,445"
68.0,"Amarillo, TX", Potter County, TX,19.7,"$41,912"
1128.0,"Fullerton, CA", Orange County, CA,9.4,"$63,681"
2535.0,"Panama City, FL", Bay County, FL,15.6,"$50,576"
2480.0,"Orange, TX",Orange County, TX,9.4,"$63,681"
2941.0,"Sandusky, OH",Sandusky County, OH,10.0,"$53,978"
2418.0,"Novato, CA", Marin County, CA,6.6,"$122,933"
1772.0,"Laplace, LA",,,,"$100,075"
1489.0,"Huntington Beach, CA", Orange County, CA,9.4,"$63,681"
2214.0,"Moorpark, CA", Ventura County, CA,9.1,"$84,170"
953.0,"Eloy, AZ", Pinal County, AZ,12.9,"$58,848"
520.0,"Cedar Creek, TX", Angelina County, TX,17.9,"$46,653"
664.0,"Colleyville, TX", Tarrant County, TX,12.1,"$66,059"
2108.0,"Mesquite, TX", Dallas County, TX,14.2,"$59,838"
1463.0,"Hoschton, GA", Jackson County, GA,12.0,"$52,919"
254.0,"Belton, SC", Anderson County, SC,19.8,"$45,969"
991.0,"Ewa Beach, HI", Honolulu County, HI,7.7,"$83,695"
3039.0,"Shreveport, LA", Caddo Parish, LA,22.4,"$40,467"
405.0,"Brusly, LA", West Baton Rouge Parish, LA,12.8,"$58,205"
1546.0,"Jackson, MS", Multnomah County, MS,12.0,"$70,756"
1399.0,"High Point, NC", Guilford County, NC,15.4,"$52,166"
2571.0,"Pelahatchie, MS", Rankin County, MS,9.6,"$66,296"
1892.0,"Long Beach, CA", Los Angeles County, CA,14.2,"$67,986"
2984.0,"Scottsdale, AZ", Maricopa County, AZ,12.3,"$65,234"
2454.0,"Oklahoma City, OK", Oklahoma County, OK,16.9,"$52,346"
505.0,"Cary, IL", McHenry County, IL,11.9,"$54,795"
239.0,"Bellefontaine, OH", Logan County, OH,24.6,"$34,894"
245.0,"Bellflower, CA", Los Angeles County, CA,14.2,"$67,986"
2171.0,"Missouri City, TX", Fort Bend County, TX,7.9,"$92,310"
1426.0,"Hobbs, NM", Lea County, NM,16.1,"$51,656"
3482.0,"West Covina, CA", Los Angeles County, CA,14.2,"$67,986"
1236.0,"Grand Rapids, MI", Kent County, MI,13.3,"$47,625"
2586.0,"Pensacola, FL", Escambia County, FL,14.7,"$50,644"
2123.0,"Middleton, WI", Dane County, WI,10.8,"$71,789"
2087.0,"Melbourne, VIC       ",,,,"$100,075"
2717.0,"Puckett, MS", Rankin County, MS,9.6,"$66,296"
1484.0,"Huntersville, NC", Mecklenburg County, NC,18.7,"$44,832"
2927.0,"San Juan, TX", Hidalgo County, TX,30.0,"$38,785"
853.0,"Dothan, AL", Houston County, AL,26.1,"$39,533"
3304.0,"Tulare, CA",Tulare County, CA,22.2,"$48,763"
1800.0,"League City, TX", Galveston County, TX,12.1,"$71,959"
3503.0,"West Valley City, UT",,,,"$100,075"
2881.0,"Saint Charles, IL",Saint Charles County, IL,,"$100,075"
3540.0,"Whitewater, WI", Walworth County, WI,10.1,"$64,234"
3199.0,"Sumter, SC",Sumter County, SC,18.7,"$45,181"
2000.0,"Mansfield, TX", Tarrant County, TX,12.1,"$66,059"
1165.0,"Geneva, IL",Geneva County, IL,21.3,"$37,823"
3585.0,"Winter Haven, FL", Polk County, FL,9.6,"$59,990"
1438.0,"Hollister, CA", San Benito County, CA,8.6,"$80,063"
2551.0,"Pascagoula, MS", Jackson County, MS,12.0,"$52,919"
3364.0,"Vicksburg, MS", Kalamazoo County, MS,14.4,"$55,881"
1266.0,"Greenville, MS", Greenville County, MS,11.1,"$61,162"
1060.0,"Forest, MS", Bedford County, MS,10.4,"$61,186"
1350.0,"Harvest, AL", Madison County, AL,10.1,"$60,450"
1503.0,"Ibadan, ",,,,"$100,075"
312.0,"Blue Ridge, GA", Fannin County, GA,13.8,"$53,111"
1559.0,"Jamesville, NY", Onondaga County, NY,13.7,"$59,786"
715.0,"Cornelius, NC", Mecklenburg County, NC,18.7,"$44,832"
2471.0,"Opelika, AL", Lee County, AL,24.8,"$34,796"
2466.0,"Oneonta, AL", Los Angeles County, AL,14.2,"$67,986"
2833.0,"Rockwall, TX",Rockwall County, TX,5.1,"$102,858"
3435.0,"Waterloo, IA",,,,"$100,075"
2540.0,"Paris, TX", Lamar County, TX,14.4,"$45,767"
3641.0,"Zurich, ", Rooks County, ,11.2,"$47,365"
363.0,"Breaux Bridge, LA", St. Martin Parish, LA,19.3,"$46,229"
507.0,"Casa Grande, AZ", Pinal County, AZ,12.9,"$58,848"
1492.0,"Huntsville, AL", Jefferson County, AL,8.1,"$65,831"
3544.0,"Wichita, KS", Sedgwick County, KS,13.4,"$56,381"
2464.0,"Omaha, NE", Douglas County, NE,11.7,"$50,637"
727.0,"Council Bluffs, IA", Pottawattamie County, IA,11.8,"$56,337"
3394.0,"Wahiawa, HI", Honolulu County, HI,7.7,"$83,695"
406.0,"Bryan, TX", Brazos County, TX,23.2,"$50,113"
1126.0,"Fruitland, NM", San Juan County, NM,10.2,"$62,249"
408.0,"Buckeye, AZ", Maricopa County, AZ,12.3,"$65,234"
865.0,"Dublin, CA", Alameda County, CA,9.0,"$101,744"
2587.0,"Peoria, AZ", Maricopa County, AZ,12.3,"$65,234"
3425.0,"Washington, DC",,,,"$100,075"
1246.0,"Grapevine, TX", Tarrant County, TX,12.1,"$66,059"
1175.0,"Gilbert, AZ", Maricopa County, AZ,12.3,"$65,234"
2733.0,"Racine, WI",,,,"$100,075"
