id,full_name,first_name,last_name,position,position_group,section,college,draft_year,defense_ast_tackles,defense_fum_forced,defense_fum_rec,defense_fum_tds,defense_fum_yds,defense_games,defense_int,defense_int_td,defense_int_yards,defense_loss_tackles,defense_pd,defense_sacks,defense_seasons,defense_solo_tackes,defense_tackles,passing_attempts,passing_comp_pct,passing_completions,passing_games,passing_pass_ints,passing_pass_tds,passing_pass_yards,passing_seasons,rushing_games,rushing_rec_td,rushing_rec_yards,rushing_receptions,rushing_rush_att,rushing_rush_td,rushing_rush_yds,rushing_scrim_plays,rushing_scrim_tds,rushing_scrim_yds,rushing_seasons,receiving_games,receiving_rec_td,receiving_rec_yards,receiving_receptions,receiving_rush_att,receiving_rush_td,receiving_rush_yds,receiving_scrim_plays,receiving_scrim_tds,receiving_scrim_yds,receiving_seasons
4047646.0,A.J. Brown,A.J.,Brown,WR,WR,O,Ole Miss,2019,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,19,2984,189,0,0,0,189,19,2984,3
3728248.0,Albert Huggins,Albert,Huggins,DL,DL,D,Clemson,2019,35,0,0,0,0,34,1,0,0,13.0,1,7.5,4,34,69,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3917668.0,Alec Ingold,Alec,Ingold,FB,RB,O,Wisconsin,2019,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,36,4,185,14,103,17,343,117,21,528,4,0,0,0,0,0,0,0,0,0,0,0
3886636.0,Alex Barnes,Alex,Barnes,RB,RB,O,Kansas State,2019,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,35,0,223,25,458,25,2616,483,25,2839,4,0,0,0,0,0,0,0,0,0,0,0
4048244.0,Alexander Mattison,Alexander,Mattison,RB,RB,O,Boise State,2019,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,38,1,511,60,581,33,2829,641,34,3340,3,0,0,0,0,0,0,0,0,0,0,0
3117249.0,Alijah Holder,Alijah,Holder,CB,DB,D,Stanford,2019,42,5,0,0,0,36,2,1,63,6.5,24,0.0,4,89,131,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3932433.0,Alize Mack,Alize,Mack,TE,TE,O,Notre Dame,2019,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,4,716,68,0,0,0,68,4,716,3
4036134.0,Amani Hooker,Amani,Hooker,S,DB,D,Iowa,2019,45,0,0,0,0,25,6,1,90,3.5,9,1.0,3,80,125,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3116175.0,Amani Oruwariye,Amani,Oruwariye,CB,DB,D,Penn State,2019,34,1,0,0,0,38,8,1,45,1.0,20,0.0,4,72,106,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3127264.0,Andre Dillard,Andre,Dillard,OT,OL,O,Washington State,2019,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Andrew Van ginkel,Andrew,Van,OLB,LB,D,Wisconsin,2019,33,4,1,0,0,26,2,1,11,19.5,5,12.0,2,65,98,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3918331.0,Andrew Wingard,Andrew,Wingard,S,DB,D,Wyoming,2019,180,5,1,0,0,51,10,0,87,25.0,8,4.0,4,274,454,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3914328.0,Andy Isabella,Andy,Isabella,WR,WR,O,UMass,2019,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,30,3526,231,40,2,342,271,32,3868,4
4049301.0,Anthony Johnson,Anthony,Johnson,WR,WR,O,Buffalo,2019,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,25,2367,133,4,0,-5,137,25,2362,2
3894856.0,Anthony Nelson,Anthony,Nelson,DL,DL,D,Iowa,2019,60,4,1,1,0,37,0,0,0,31.0,7,23.0,4,59,119,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3145005.0,Anthony Nelson,Anthony,Nelson,DL,DL,D,Iowa,2019,60,4,1,1,0,37,0,0,0,31.0,7,23.0,4,59,119,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4043161.0,Antoine Wesley,Antoine,Wesley,WR,WR,O,Texas Tech,2019,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,9,1547,98,1,0,-2,99,9,1545,3
3128685.0,Armon Watts,Armon,Watts,DL,DL,D,Arkansas,2019,27,3,0,0,0,19,0,0,0,8.5,2,7.0,4,29,56,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3728253.0,Austin Bryant,Austin,Bryant,DE,DL,D,Clemson,2019,61,2,1,0,0,45,1,0,0,37.0,3,21.0,4,69,130,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3919117.0,Azeez Al-Shaair,Azeez,Al-Shaair,OLB,LB,D,Florida Atlantic,2019,194,1,0,0,0,43,1,1,30,31.0,6,7.5,4,201,395,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3121537.0,Beau Benzschawel,Beau,Benzschawel,OT,OL,O,Wisconsin,2019,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3124970.0,Ben Banogu,Ben,Banogu,DE,DL,D,TCU,2019,58,7,3,1,0,40,0,0,0,45.0,3,20.0,3,98,156,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3886816.0,Ben Burr-Kirven,Ben,Burr-Kirven,OLB,LB,D,Washington,2019,148,6,3,0,0,47,4,0,60,11.5,10,4.0,4,190,338,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4037650.0,Ben Powers,Ben,Powers,OT,OL,O,Oklahoma,2019,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Benny Snell,Benny,Snell,RB,RB,O,Kentucky,2019,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,39,0,216,29,737,48,3873,766,48,4089,3,0,0,0,0,0,0,0,0,0,0,0
3917067.0,Bisi Johnson,Bisi,Johnson,WR,WR,O,Colorado State,2019,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,11,2019,125,1,0,13,126,11,2032,4
3128652.0,Blace Brown,Blace,Brown,CB,DB,D,Troy,2019,35,2,1,0,0,35,12,1,181,2.0,16,0.5,4,76,111,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3728281.0,Blake Cashman,Blake,Cashman,OLB,LB,D,Minnesota,2019,67,2,1,1,0,36,0,0,0,31.0,6,12.0,4,116,183,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3930021.0,Blessuan Austin,Blessuan,Austin,CB,DB,D,Rutgers,2019,22,1,1,0,0,25,4,1,42,5.0,18,2.0,4,67,89,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3706968.0,Bobby Evans,Bobby,Evans,OT,OL,O,Oklahoma,2019,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3117253.0,Bobby Okereke,Bobby,Okereke,OLB,LB,D,Stanford,2019,105,3,1,0,0,44,1,1,52,20.0,8,10.5,4,122,227,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3929795.0,Brandon Knight,Brandon,Knight,OT,OL,O,Indiana,2019,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3722362.0,Brett Rypien,Brett,Rypien,QB,QB,O,Boise State,2019,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1617,255.4,1035,50,29,90,13578,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4035631.0,Brian Burns,Brian,Burns,DE,DL,D,Florida State,2019,52,7,2,0,0,33,0,0,0,38.5,7,23.0,3,71,123,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3931398.0,Bryce Love,Bryce,Love,RB,RB,O,Stanford,2019,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,49,2,465,49,569,30,3865,618,32,4330,4,0,0,0,0,0,0,0,0,0,0,0
3126478.0,Bryson Allen-Williams,Bryson,Allen-Williams,OLB,LB,D,South Carolina,2019,69,1,3,0,0,43,4,0,0,25.0,2,6.5,5,107,176,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Byron Cowart,Byron,Cowart,DL,DL,D,Maryland,2019,20,1,0,0,0,12,2,0,13,5.0,0,3.0,1,18,38,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4038999.0,Byron Murphy,Byron,Murphy,CB,DB,D,Washington,2019,24,2,0,0,0,20,6,1,95,7.0,20,1.0,2,50,74,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3915230.0,C.J. Conrad,C.J.,Conrad,TE,TE,O,Kentucky,2019,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,12,1015,80,0,0,0,80,12,1015,4
