full_name,first_name,last_name,college,draft_year,position,position_group,section,forty,vertical,bench,broad,threecone,shuttle
A.J. Brown,A.J.,Brown,Mississippi,2019,WR,WR,O,4.49,36.5,19.0,120.0,,
Albert Huggins,Albert,Huggins,Clemson,2019,DL,DL,D,5.12,25.5,35.0,101.0,7.84,4.84
Alec Ingold,Alec,Ingold,Wisconsin,2019,FB,RB,O,4.89,34.0,16.0,116.0,7.35,4.32
Alex Barnes,Alex,Barnes,Kansas St.,2019,RB,RB,O,4.59,38.5,34.0,126.0,6.95,4.1
Alexander Mattison,Alexander,Mattison,Boise St.,2019,RB,RB,O,4.67,35.0,22.0,127.0,7.13,4.29
Alijah Holder,Alijah,Holder,Stanford,2019,CB,DB,D,4.6,36.0,9.0,121.0,6.7,4.15
Alize Mack,Alize,Mack,Notre Dame,2019,TE,TE,O,4.7,36.0,22.0,120.0,7.27,4.34
Amani Hooker,Amani,Hooker,Iowa,2019,S,DB,D,4.48,37.0,14.0,123.0,6.81,4.1
Amani Oruwariye,Amani,Oruwariye,Penn St.,2019,CB,DB,D,4.47,36.5,17.0,120.0,6.82,4.16
Andre Dillard,Andre,Dillard,Washington St.,2019,OT,OL,O,4.96,29.0,24.0,118.0,7.44,4.4
Andrew Van ginkel,Andrew,Van,Wisconsin,2019,OLB,LB,D,,38.0,17.0,123.0,6.89,4.14
Andrew Wingard,Andrew,Wingard,Wyoming,2019,S,DB,D,4.56,36.5,9.0,121.0,7.08,4.2
Andy Isabella,Andy,Isabella,Massachusetts,2019,WR,WR,O,4.31,36.5,15.0,121.0,6.95,4.15
Anthony Johnson,Anthony,Johnson,Buffalo,2019,WR,WR,O,,32.5,18.0,122.0,7.12,
Anthony Nelson,Anthony,Nelson,Iowa,2019,DL,DL,D,4.82,35.5,18.0,118.0,6.95,4.23
Antoine Wesley,Antoine,Wesley,Texas Tech,2019,WR,WR,O,,37.0,6.0,117.0,7.07,4.26
Armon Watts,Armon,Watts,Arkansas,2019,DL,DL,D,5.23,,,,,
Austin Bryant,Austin,Bryant,Clemson,2019,DE,DL,D,,,,,,
Azeez Al-Shaair,Azeez,Al-Shaair,Florida Atlantic,2019,OLB,LB,D,,,16.0,,,
Beau Benzschawel,Beau,Benzschawel,Wisconsin,2019,OT,OL,O,5.24,,20.0,,,
Ben Banogu,Ben,Banogu,TCU,2019,DE,DL,D,4.62,40.0,23.0,134.0,7.02,4.27
Ben Burr-Kirven,Ben,Burr-Kirven,Washington,2019,OLB,LB,D,4.56,34.5,21.0,121.0,6.85,4.09
Ben Powers,Ben,Powers,Oklahoma,2019,OT,OL,O,,,21.0,,,
Benny Snell,Benny,Snell,Kentucky,2019,RB,RB,O,4.66,29.5,16.0,119.0,7.07,4.33
Bisi Johnson,Bisi,Johnson,Colorado St.,2019,WR,WR,O,4.51,38.0,14.0,124.0,6.88,4.16
Blace Brown,Blace,Brown,Troy,2019,CB,DB,D,4.75,,14.0,126.0,7.33,4.22
Blake Cashman,Blake,Cashman,Minnesota,2019,OLB,LB,D,4.5,37.5,18.0,124.0,6.95,4.12
Blessuan Austin,Blessuan,Austin,Rutgers,2019,CB,DB,D,,,15.0,,,
Bobby Evans,Bobby,Evans,Oklahoma,2019,OT,OL,O,5.2,,22.0,,,
Bobby Okereke,Bobby,Okereke,Stanford,2019,OLB,LB,D,4.58,33.5,,122.0,7.25,4.26
Brandon Knight,Brandon,Knight,Indiana,2019,OT,OL,O,,,,,,
Brett Rypien,Brett,Rypien,Boise St.,2019,QB,QB,O,4.91,33.0,,116.0,7.1,4.29
Brian Burns,Brian,Burns,Florida St.,2019,DE,DL,D,4.53,36.0,,129.0,7.01,
Bryce Love,Bryce,Love,Stanford,2019,RB,RB,O,,,18.0,,,
Bryson Allen-Williams,Bryson,Allen-Williams,South Carolina,2019,OLB,LB,D,4.88,,14.0,,7.4,
Byron Cowart,Byron,Cowart,Maryland,2019,DL,DL,D,5.16,30.0,26.0,111.0,,
Byron Murphy,Byron,Murphy,Washington,2019,CB,DB,D,4.55,36.5,14.0,120.0,,
C.J. Conrad,C.J.,Conrad,Kentucky,2019,TE,TE,O,,,,,,
Caleb Wilson,Caleb,Wilson,UCLA,2019,TE,TE,O,4.56,29.0,,113.0,7.2,4.4
Cameron Smith,Cameron,Smith,USC,2019,OLB,LB,D,4.69,39.0,15.0,123.0,,4.23
Carl Granderson,Carl,Granderson,Wyoming,2019,DE,DL,D,4.79,35.0,,119.0,7.44,4.41
Cece Jefferson,Cece,Jefferson,Florida,2019,DE,DL,D,5.02,30.5,17.0,108.0,7.5,4.53
Charles Omenihu,Charles,Omenihu,Texas,2019,DL,DL,D,4.92,36.5,,115.0,7.48,4.36
Chase Hansen,Chase,Hansen,Utah,2019,OLB,LB,D,,,,,,
Chase Winovich,Chase,Winovich,Michigan,2019,DE,DL,D,4.59,30.5,18.0,116.0,6.94,4.11
Chauncey Gardner-Johnson,Chauncey,Gardner-Johnson,Florida,2019,S,DB,D,4.48,36.0,17.0,117.0,7.03,4.2
Chris Lindstrom,Chris,Lindstrom,Boston College,2019,OT,OL,O,4.91,30.5,25.0,117.0,7.61,4.54
Chris Slayton,Chris,Slayton,Syracuse,2019,DL,DL,D,5.13,29.0,28.0,101.0,,4.73
Christian Miller,Christian,Miller,Alabama,2019,DE,DL,D,,38.5,,118.0,,
Christian Wilkins,Christian,Wilkins,Clemson,2019,DL,DL,D,5.04,29.5,28.0,107.0,,4.55
Clayton Thorson,Clayton,Thorson,Northwestern,2019,QB,QB,O,,,,,,
Clelin Ferrell,Clelin,Ferrell,Clemson,2019,DE,DL,D,,,25.0,,7.26,4.4
Cody Barton,Cody,Barton,Utah,2019,OLB,LB,D,4.64,32.5,30.0,116.0,6.9,4.03
Cody Thompson,Cody,Thompson,Toledo,2019,WR,WR,O,4.57,38.5,19.0,119.0,6.87,4.03
Connor McGovern,Connor,McGovern,Penn St.,2019,OT,OL,O,,,28.0,112.0,7.66,4.57
D.K. Metcalf,D.K.,Metcalf,Mississippi,2019,WR,WR,O,4.33,40.5,27.0,134.0,7.38,4.5
D'Andre Walker,D'Andre,Walker,Georgia,2019,DE,DL,D,,,,,,
D'Cota Dixon,D'Cota,Dixon,Wisconsin,2019,S,DB,D,4.81,33.5,20.0,119.0,,
Dakota Allen,Dakota,Allen,Texas Tech,2019,OLB,LB,D,4.77,31.5,23.0,116.0,6.88,4.04
Dalton Risner,Dalton,Risner,Kansas St.,2019,OT,OL,O,5.3,28.5,23.0,110.0,7.69,4.52
Damarkus Lodge,Damarkus,Lodge,Mississippi,2019,WR,WR,O,4.55,33.5,11.0,119.0,7.06,4.53
Damien Harris,Damien,Harris,Alabama,2019,RB,RB,O,4.57,37.0,16.0,121.0,,
Dan Godsil,Dan,Godsil,Indiana,2019,LS,LS,ST,5.0,34.5,16.0,118.0,7.56,4.55
