,College,Geographic Location,county,state
0,Abilene Christian,"Abilene, TX", Taylor County, TX
1,Air Force,"Colorado Springs, CO", El Paso County, CO
2,Akron,"Akron, OH", Summit County, OH
3,Alabama,"Tuscaloosa, AL", Jefferson County, AL
4,Alabama State,"Montgomery, AL", Clearfield County, AL
5,Alabama-Birmingham,"Birmingham, AL", Jefferson County, AL
6,Alcorn State,"Lorman, MS", Jefferson County, MS
7,Appalachian St.,"Boone, NC", Watauga County, NC
8,Appalachian State,"Boone, NC", Watauga County, NC
9,Arizona,"Tucson, AZ", Pima County, AZ
10,Arizona State,"Tempe, AZ", Maricopa County, AZ
11,Arkansas,"Fayetteville, AR", Washington County, AR
12,Arkansas State,"Jonesboro, AR", Craighead County, AR
13,Army,"West Point, NY", Suffolk County, NY
14,Auburn,"Auburn, AL", Jefferson County, AL
15,Azusa Pacific,"Azusa, CA", Los Angeles County, CA
16,Ball St.,"Muncie, IN", Delaware County, IN
17,Ball State,"Muncie, IN", Delaware County, IN
18,Baylor,"Waco, TX", McLennan County, TX
19,Boise St.,"Boise, ID", Ada County, ID
20,Boise State,"Boise, ID", Ada County, ID
21,Boston College,"Chestnut Hill, MA",, MA
22,Bowling Green,"Bowling Green, OH", Wood County, OH
23,Bowling Green State,"Bowling Green, OH", Wood County, OH
24,Brigham Young,"Provo, UT", Utah County, UT
25,Buffalo,"Amherst, NY", Erie County, NY
26,BYU,"Provo, UT", Utah County, UT
27,California,"Berkeley, CA", Alameda County, CA
28,California (PA),"California, PA", Washington County, PA
29,California-Davis,"Davis, CA", Yolo County, CA
30,Central Florida,"Orlando, FL", Orange County, FL
31,Central Michigan,"Mount Pleasant, MI", Isabella County, MI
32,Central Missouri,"Warrensburg, MS", Johnson County, MS
33,Central Washington,"Ellensburg, WA", Kittitas County, WA
34,Charlotte,"Charlotte, NC", Mecklenburg County, NC
35,Chattanooga,"Chattanooga, TN", Hamilton County, TN
36,Cheyney,"Philadelphia, PA", Philadelphia County, PA
37,Cincinnati,"Cincinnati, OH", Hamilton County, OH
38,Clark Atlanta,"Atlanta, GA", Fulton County, GA
39,Clemson,"Clemson, SC", Pickens County, SC
40,Coastal Carolina,"Conway, SC", Horry County, SC
41,Colorado,"Boulder, CO",Boulder County, CO
42,Colorado St.,"Fort Collins, CO", Larimer County, CO
43,Colorado State,"Fort Collins, CO", Larimer County, CO
44,Connecticut,"East Hartford, CT", Hartford County, CT
45,Delaware,"Newark, DE", New Castle County, DE
46,Duke,"Durham, NC", Durham County, NC
47,East Carolina,"Greenville, NC", Pitt County, NC
48,Eastern Kentucky,"Richmond, KY", Madison County, KY
49,Eastern Michigan,"Ypsilanti, MI", Washtenaw County, MI
50,Eastern Washington,"Cheney, WA", Spokane County, WA
51,Ferris St.,"Big Rapids, MI", Mecosta County, MI
52,Florida,"Gainesville, FL", Alachua County, FL
53,Florida Atlantic,"Boca Raton, FL", Palm Beach County, FL
54,Florida International,"Miami, FL", Miami-Dade County, FL
55,Florida St.,"Tallahassee, FL", Leon County, FL
56,Florida State,"Tallahassee, FL", Leon County, FL
57,Fort Hays State,"Hays, KS", Ellis County, KS
58,Fresno St.,"Fresno, CA", Fresno County, CA
59,Fresno State,"Fresno, CA", Fresno County, CA
60,Furman,"Greenville, SC", Greenville County, SC
61,Georgia,"Athens, GA", Athens-Clarke County, GA
62,Georgia Southern,"Statesboro, GA", Bulloch County, GA
63,Georgia State,"Atlanta, GA", Fulton County, GA
64,Georgia Tech,"Atlanta, GA", Fulton County, GA
65,Glenville State,"Glenville, WV", Gilmer County, WV
66,Grambling State,"Grambling, LA", Lincoln Parish, LA
67,Hampton,"Hampton, VA",, VA
68,Hawaii,"Honolulu, HI", Honolulu County, HI
69,Hillsdale,"Hillsdale, MI",Hillsdale County, MI
70,Houston,"Houston, TX", Harris County, TX
71,Idaho,"Moscow, ID", Latah County, ID
72,Idaho State,"Pocatello, ID", Bannock County, ID
73,Illinois,"Champaign, IL", Champaign County, IL
74,Illinois State,"Normal, IL", McLean County, IL
75,Indiana,"Bloomington, IN", Monroe County, IN
76,Indiana (PA),"Indiana, PA",Indiana County, PA
77,Iowa,"Iowa City, IA", Johnson County, IA
78,Iowa St.,"Ames, IA", Story County, IA
79,Iowa State,"Ames, IA", Story County, IA
80,Jackson State,"Jacksonville, AL", Calhoun County, AL
81,Jacksonville St.,"Jacksonville, AL", Calhoun County, AL
82,Jacksonville State,"Jacksonville, AL", Calhoun County, AL
83,James Madison,"Harrisonburg, VA",, VA
84,Kansas,"Lawrence, KS", Douglas County, KS
85,Kansas St.,"Manhattan, KS", Riley County, KS
86,Kansas State,"Manhattan, KS", Riley County, KS
87,Kent State,"Kent, OH", Portage County, OH
88,Kentucky,"Lexington, KY", Fayette County, KY
89,Lane (TN),"Lane, TN", Dyer County, TN
90,Liberty,"Lynchburg, VA",, VA
91,Louisiana,"Lafayette, LA", Lafayette Parish, LA
92,Louisiana St,"Baton Rouge, LA", East Baton Rouge Parish, LA
93,Louisiana State,"Baton Rouge, LA", East Baton Rouge Parish, LA
94,Louisiana Tech,"Ruston, LA", Lincoln Parish, LA
95,Louisiana-Lafayette,"Lafayette, LA", Lafayette Parish, LA
96,Louisiana-Monroe,"Monroe, LA",Monroe County, LA
97,Louisville,"Louisville, KY", Jefferson County, KY
98,LSU,"Baton Rouge, LA", East Baton Rouge Parish, LA
99,Mars Hill,"Mars Hill, NC", Madison County, NC
100,Marshall,"Huntington, WV", Cabell County, WV
101,Maryland,"College Park, MD", Prince George's County, MD
102,Massachusetts,"Amherst, MA", Hampshire County, MA
103,McNeese State,"Lake Charles, LA", Calcasieu Parish, LA
104,Memphis,"Memphis, TN", Shelby County, TN
