,Geographic Location,county,state,poverty_pct,med_income
0,"Lakeland, FL", Polk County, FL,9.6,"$69,212"
1,"Howe, TX", Grayson County, TX,18.4,"$69,212"
2,"Northport, AL", Tuscaloosa County, AL,16.8,"$69,212"
3,"Bristow, VA", Prince William County, VA,6.4,"$69,212"
4,"Covington, GA", Newton County, GA,22.3,"$69,212"
5,"Fairfield, CT", Eau Claire County, CT,12.9,"$69,212"
6,"Mineola, NY", Nassau County, NY,5.8,"$69,212"
7,"Northville, MI", Wayne County, MI,20.9,"$69,212"
8,"Cincinnati, OH", Hamilton County, OH,14.7,"$69,212"
9,"Danville, CA", Contra Costa County, CA,7.8,"$69,212"
10,"West Orange, NJ", Essex County, NJ,13.7,"$69,212"
11,"Port Orange, FL", Volusia County, FL,13.2,"$69,212"
12,"Babylon, NY", Suffolk County, NY,7.3,"$69,212"
13,"Union City, MI", Branch County, MI,14.5,"$69,212"
14,"Mission Hills, CA", Santa Barbara County, CA,12.6,"$69,212"
15,"Lake Orion, MI", Oakland County, MI,8.2,"$69,212"
16,"Plainfield, NJ", Union County, NJ,19.8,"$69,212"
17,"Fishers, IN", Hamilton County, IN,14.7,"$69,212"
18,"Indianapolis, IN",,,,"$69,212"
19,"Crete, IL", Will County, IL,6.4,"$69,212"
20,"Lorain, OH",Lorain County, OH,14.2,"$69,212"
21,"Boynton Beach, FL", Palm Beach County, FL,12.2,"$69,212"
22,"Hialeah, FL", Miami-Dade County, FL,16.0,"$69,212"
23,"Compton, CA", Los Angeles County, CA,14.2,"$69,212"
24,"Lincoln, CA", Placer County, CA,7.1,"$69,212"
25,"Little Rock, AR",,,,"$69,212"
26,"Clovis, CA", Fresno County, CA,21.3,"$69,212"
27,"Thousand Oaks, CA", Ventura County, CA,9.1,"$69,212"
28,"Lake Forest, CA", Orange County, CA,9.4,"$69,212"
29,"Brockton, MA", Plymouth County, MA,6.2,"$69,212"
30,"Charlton, MA", Worcester County, MA,9.0,"$69,212"
31,"Winchester, MA", Middlesex County, MA,12.7,"$69,212"
32,"Lynnfield, MA", Essex County, MA,13.7,"$69,212"
33,"Cambridge, MA", Middlesex County, MA,12.7,"$69,212"
34,"Lynnwood, WA", Snohomish County, WA,7.5,"$69,212"
35,"Valencia, CA", Los Angeles County, CA,14.2,"$69,212"
36,"Nassau, NP", Lac qui Parle County, NP,9.5,"$69,212"
37,"Amarillo, TX", Potter County, TX,19.7,"$69,212"
38,"Fullerton, CA", Orange County, CA,9.4,"$69,212"
39,"Panama City, FL", Bay County, FL,15.6,"$69,212"
40,"Champaign, IL", Champaign County, IL,10.0,"$69,212"
41,"Orange, TX",Orange County, TX,9.4,"$69,212"
42,"Sandusky, OH",Sandusky County, OH,10.0,"$69,212"
43,"Novato, CA", Marin County, CA,6.6,"$69,212"
44,"Laplace, LA",,,,"$69,212"
45,"Huntington Beach, CA", Orange County, CA,9.4,"$69,212"
46,"San Diego, CA", San Diego County, CA,11.5,"$69,212"
47,"Moorpark, CA", Ventura County, CA,9.1,"$69,212"
48,"Eloy, AZ", Pinal County, AZ,12.9,"$69,212"
49,"Cedar Creek, TX", Angelina County, TX,17.9,"$69,212"
50,"Colleyville, TX", Tarrant County, TX,12.1,"$69,212"
51,"Mesquite, TX", Dallas County, TX,14.2,"$69,212"
52,"Hoschton, GA", Jackson County, GA,12.0,"$69,212"
53,"Belton, SC", Anderson County, SC,19.8,"$69,212"
54,"Ewa Beach, HI", Honolulu County, HI,7.7,"$69,212"
55,"Shreveport, LA", Caddo Parish, LA,22.4,"$69,212"
56,"Brusly, LA", West Baton Rouge Parish, LA,12.8,"$69,212"
57,"Jackson, MS", Multnomah County, MS,12.0,"$69,212"
58,"High Point, NC", Guilford County, NC,15.4,"$69,212"
59,"Pelahatchie, MS", Rankin County, MS,9.6,"$69,212"
60,"Lafayette, LA", Lafayette Parish, LA,15.3,"$69,212"
61,"Long Beach, CA", Los Angeles County, CA,14.2,"$69,212"
62,"Scottsdale, AZ", Maricopa County, AZ,12.3,"$69,212"
63,"Oklahoma City, OK", Oklahoma County, OK,16.9,"$69,212"
64,"Cary, IL", McHenry County, IL,11.9,"$69,212"
65,"Bellefontaine, OH", Logan County, OH,24.6,"$69,212"
66,"Bellflower, CA", Los Angeles County, CA,14.2,"$69,212"
67,"Missouri City, TX", Fort Bend County, TX,7.9,"$69,212"
68,"Hobbs, NM", Lea County, NM,16.1,"$69,212"
69,"West Covina, CA", Los Angeles County, CA,14.2,"$69,212"
70,"Grand Rapids, MI", Kent County, MI,13.3,"$69,212"
71,"Pensacola, FL", Escambia County, FL,14.7,"$69,212"
72,"Middleton, WI", Dane County, WI,10.8,"$69,212"
73,"Memphis, TN", Shelby County, TN,20.6,"$69,212"
74,"Melbourne, VIC       ",,,,"$69,212"
75,"New Orleans, LA", Orleans Parish, LA,23.8,"$69,212"
76,"Puckett, MS", Rankin County, MS,9.6,"$69,212"
77,"Huntersville, NC", Mecklenburg County, NC,18.7,"$69,212"
78,"San Juan, TX", Hidalgo County, TX,30.0,"$69,212"
79,"Dothan, AL", Houston County, AL,26.1,"$69,212"
